Pes_atur,Nom_Barri,Codi_Barri,Poblacio_16_64_anys,Mes
8.4,el Raval,1,36405,1
5.9,el Barri Gòtic,2,15462,1
8.8,la Barceloneta,3,11337,1
7.8,"Sant Pere, Santa Caterina i la Ribera",4,17710,1
8.6,el Raval,1,36405,2
6.1,el Barri Gòtic,2,15462,2
8.9,la Barceloneta,3,11337,2
7.9,"Sant Pere, Santa Caterina i la Ribera",4,17710,2
9.3,el Raval,1,36405,3
6.6,el Barri Gòtic,2,15462,3
9.6,la Barceloneta,3,11337,3
8.5,"Sant Pere, Santa Caterina i la Ribera",4,17710,3
11.2,el Raval,1,36405,4
7.5,el Barri Gòtic,2,15462,4
10.7,la Barceloneta,3,11337,4
9.4,"Sant Pere, Santa Caterina i la Ribera",4,17710,4
11.7,el Raval,1,36405,5
8.1,el Barri Gòtic,2,15462,5
11.5,la Barceloneta,3,11337,5
10.2,"Sant Pere, Santa Caterina i la Ribera",4,17710,5
12.3,el Raval,1,36405,6
8.2,el Barri Gòtic,2,15462,6
11.8,la Barceloneta,3,11337,6
10.4,"Sant Pere, Santa Caterina i la Ribera",4,17710,6
12.2,el Raval,1,36405,7
8.1,el Barri Gòtic,2,15462,7
11.5,la Barceloneta,3,11337,7
10.1,"Sant Pere, Santa Caterina i la Ribera",4,17710,7
12.5,el Raval,1,36405,8
8.4,el Barri Gòtic,2,15462,8
11.9,la Barceloneta,3,11337,8
10.5,"Sant Pere, Santa Caterina i la Ribera",4,17710,8
12.7,el Raval,1,36405,9
8.2,el Barri Gòtic,2,15462,9
11.7,la Barceloneta,3,11337,9
10.4,"Sant Pere, Santa Caterina i la Ribera",4,17710,9
13.3,el Raval,1,36405,10
8.7,el Barri Gòtic,2,15462,10
12,la Barceloneta,3,11337,10
10.6,"Sant Pere, Santa Caterina i la Ribera",4,17710,10
13.5,el Raval,1,36405,11
8.9,el Barri Gòtic,2,15462,11
12,la Barceloneta,3,11337,11
10.6,"Sant Pere, Santa Caterina i la Ribera",4,17710,11
5.4,el Fort Pienc,5,21844,1
5.6,la Sagrada Família,6,34705,1
4.3,la Dreta de l'Eixample,7,29350,1
4.6,l'Antiga Esquerra de l'Eixample,8,29117,1
5.6,la Nova Esquerra de l'Eixample,9,38455,1
6,Sant Antoni,10,25754,1
5.4,el Fort Pienc,5,21844,2
5.5,la Sagrada Família,6,34705,2
4.4,la Dreta de l'Eixample,7,29350,2
4.8,l'Antiga Esquerra de l'Eixample,8,29117,2
5.6,la Nova Esquerra de l'Eixample,9,38455,2
6.1,Sant Antoni,10,25754,2
5.9,el Fort Pienc,5,21844,3
6,la Sagrada Família,6,34705,3
4.7,la Dreta de l'Eixample,7,29350,3
5.1,l'Antiga Esquerra de l'Eixample,8,29117,3
6,la Nova Esquerra de l'Eixample,9,38455,3
6.5,Sant Antoni,10,25754,3
6.7,el Fort Pienc,5,21844,4
6.9,la Sagrada Família,6,34705,4
