nationality,num_immi,perc_immi
Italy,6309,10.179999999999994
China,3299,5.309999999999997
Colombia,3255,5.26
Venezuela,3021,4.909999999999997
Pakistan,2967,4.729999999999997
Honduras,2767,4.449999999999997
France,2670,4.259999999999996
Peru,2473,3.9699999999999966
Morocco,1931,3.1199999999999983
Argentina,1885,3.0299999999999967
Brasil,1757,2.8299999999999983
United States,1507,2.4099999999999975
India,1441,2.3299999999999987
United Kingdom,1459,2.309999999999999
Ecuador,1432,2.25
Russia,1299,2.0700000000000007
Germany,1240,2.020000000000001
Dominican Republic,1196,1.8600000000000012
Mexico,1153,1.830000000000001
Romania,1076,1.7500000000000004
Chile,1072,1.7300000000000009
Bolivia,1051,1.7200000000000009
Portugal,962,1.540000000000001
Ukraine,894,1.4200000000000006
Bangladesh,815,1.2800000000000002
Philippines,780,1.2000000000000002
Paraguay,763,1.1900000000000006
Georgia,641,0.9900000000000004
Netherlands,561,0.8300000000000004
Cuba,491,0.7400000000000004
Poland,489,0.7300000000000003
Turkey,446,0.6800000000000003
El Salvador,452,0.6700000000000004
Iran,401,0.6300000000000002
Japan,339,0.4900000000000001
Uruguay,329,0.47000000000000025
Nepal,285,0.42000000000000015
Sweden,302,0.41000000000000014
Belgium,273,0.4000000000000001
Bulgaria,265,0.38000000000000017
Armenia,274,0.3800000000000001
Algeria,265,0.32000000000000006
South Korea,230,0.3100000000000001
Nicaragua,221,0.30000000000000004
Senegal,195,0.28
Greece,192,0.2700000000000001
Costa Rica,190,0.2700000000000001
Ireland,192,0.26000000000000006
Canada,197,0.26000000000000006
Hungary,176,0.25000000000000006
Switzerland,194,0.25
Egypt,162,0.23000000000000004
Lebanon,145,0.21000000000000005
Israel,134,0.17000000000000004
Panama,149,0.17
Austria,126,0.16000000000000003
Guatemala,135,0.16
Nigeria,137,0.16
Denmark,125,0.15
Finland,123,0.13999999999999999
Kazakhstan,123,0.13999999999999999
Syria,115,0.12999999999999998
Lithuania,119,0.12999999999999998
Australia,91,0.1
Albania,98,0.09999999999999998
Vietnam,107,0.09
Serbia,82,0.09
Equatorial Guinea,85,0.08
Czech Republic,89,0.08
Belarus,97,0.07
Croatia,89,0.07
Slovakia,76,0.07
Ghana,64,0.06999999999999999
Azerbaijan,39,0.05
Tunisia,72,0.05
Andorra,51,0.05
Moldova,59,0.04
Indonesia,40,0.04
Jordan,39,0.03
Iceland,26,0.03
Saudi Arabia,34,0.03
Gambia,43,0.03
Norway,75,0.03
No information,45,0.03
Camerun,42,0.03
Uzbekistan,30,0.03
Latvia,60,0.03
Iraq,35,0.02
Slovenia,43,0.02
Qatar,5,0.01
South Africa,44,0.01
State of Palestine,31,0.01
Mongolia,18,0.01
Afghanistan,21,0.01
Estonia,37,0.01
Mali,22,0.01
Dominica,12,0.01
Guinea,35,0.01
Malaysia,19,0.01
Libya,24,0.01
Bahrain,1,0.0
Antigua and Barbuda,1,0.0
Zambia,2,0.0
Sri Lanka,5,0.0
Cyprus,27,0.0
Sudan,14,0.0
Congo,11,0.0
Chad,3,0.0
Yemen,2,0.0
Cape Verde,1,0.0
São Tomé and Príncipe,1,0.0
Tanzania,13,0.0
Thailand,23,0.0
The Bahamas,2,0.0
Togo,4,0.0
Trinidad and Tobago,6,0.0
Cambodja,4,0.0
Somalia,2,0.0
Burkina Faso,4,0.0
Turkmenistan,4,0.0
Uganda,7,0.0
Botswana,2,0.0
United Arab Emirates,4,0.0
Bosnia and Herzegovina,17,0.0
Angola,19,0.0
Benin,6,0.0
Barbados,1,0.0
Eritrea,4,0.0
Mauritius,5,0.0
Solomon Islands,1,0.0
Luxembourg,15,0.0
Montenegro,9,0.0
Malta,10,0.0
Mozambique,8,0.0
Myanmar,6,0.0
Namibia,5,0.0
Maldives,1,0.0
New Zealand,22,0.0
Niger,2,0.0
Malawi,4,0.0
Madagascar,2,0.0
Macedonia,20,0.0
Oman,1,0.0
Laos,1,0.0
Mauritania,11,0.0
Kyrgyzstan,12,0.0
Kuwait,10,0.0
Kenya,19,0.0
Jamaica,2,0.0
Ivory Coast,19,0.0
Haiti,6,0.0
Guinea-Bissau,13,0.0
Grenada,1,0.0
Gabon,2,0.0
Sierra Leone,5,0.0
Singapore,17,0.0
Ethiopia,5,0.0
Zimbabwe,3,0.0
