"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat any a any","Nombre"
2015,1,"Ciutat Vella",1,"el Raval","Home","0 anys",227
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Home","0 anys",34
2015,1,"Ciutat Vella",3,"la Barceloneta","Home","0 anys",40
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","0 anys",92
2015,2,"Eixample",5,"el Fort Pienc","Home","0 anys",127
2015,2,"Eixample",6,"la Sagrada Família","Home","0 anys",217
2015,2,"Eixample",7,"la Dreta de l'Eixample","Home","0 anys",191
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","0 anys",160
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","0 anys",221
2015,2,"Eixample",10,"Sant Antoni","Home","0 anys",149
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Home","0 anys",207
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","0 anys",8
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Home","0 anys",111
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","0 anys",37
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Home","0 anys",80
2015,3,"Sants-Montjuïc",16,"la Bordeta","Home","0 anys",72
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Home","0 anys",93
2015,3,"Sants-Montjuïc",18,"Sants","Home","0 anys",196
2015,4,"Les Corts",19,"les Corts","Home","0 anys",176
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","0 anys",93
2015,4,"Les Corts",21,"Pedralbes","Home","0 anys",38
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","0 anys",23
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","0 anys",154
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","0 anys",72
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","0 anys",112
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","0 anys",177
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","0 anys",116
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Home","0 anys",70
2015,6,"Gràcia",29,"el Coll","Home","0 anys",46
2015,6,"Gràcia",30,"la Salut","Home","0 anys",61
2015,6,"Gràcia",31,"la Vila de Gràcia","Home","0 anys",229
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","0 anys",132
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","0 anys",104
2015,7,"Horta-Guinardó",34,"Can Baró","Home","0 anys",32
2015,7,"Horta-Guinardó",35,"el Guinardó","Home","0 anys",154
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","0 anys",35
2015,7,"Horta-Guinardó",37,"el Carmel","Home","0 anys",141
2015,7,"Horta-Guinardó",38,"la Teixonera","Home","0 anys",44
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","0 anys",20
2015,7,"Horta-Guinardó",40,"Montbau","Home","0 anys",12
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","0 anys",19
2015,7,"Horta-Guinardó",42,"la Clota","Home","0 anys",5
2015,7,"Horta-Guinardó",43,"Horta","Home","0 anys",94
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","0 anys",109
2015,8,"Nou Barris",45,"Porta","Home","0 anys",109
2015,8,"Nou Barris",46,"el Turó de la Peira","Home","0 anys",68
2015,8,"Nou Barris",47,"Can Peguera","Home","0 anys",8
2015,8,"Nou Barris",48,"la Guineueta","Home","0 anys",49
2015,8,"Nou Barris",49,"Canyelles","Home","0 anys",28
2015,8,"Nou Barris",50,"les Roquetes","Home","0 anys",64
2015,8,"Nou Barris",51,"Verdun","Home","0 anys",52
2015,8,"Nou Barris",52,"la Prosperitat","Home","0 anys",111
2015,8,"Nou Barris",53,"la Trinitat Nova","Home","0 anys",27
2015,8,"Nou Barris",54,"Torre Baró","Home","0 anys",13
2015,8,"Nou Barris",55,"Ciutat Meridiana","Home","0 anys",50
2015,8,"Nou Barris",56,"Vallbona","Home","0 anys",12
2015,9,"Sant Andreu",57,"la Trinitat Vella","Home","0 anys",72
2015,9,"Sant Andreu",58,"Baró de Viver","Home","0 anys",12
2015,9,"Sant Andreu",59,"el Bon Pastor","Home","0 anys",73
2015,9,"Sant Andreu",60,"Sant Andreu","Home","0 anys",269
2015,9,"Sant Andreu",61,"la Sagrera","Home","0 anys",136
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Home","0 anys",66
2015,9,"Sant Andreu",63,"Navas","Home","0 anys",82
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","0 anys",143
2015,10,"Sant Martí",65,"el Clot","Home","0 anys",85
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","0 anys",73
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","0 anys",52
2015,10,"Sant Martí",68,"el Poblenou","Home","0 anys",194
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","0 anys",86
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Home","0 anys",137
2015,10,"Sant Martí",71,"Provençals del Poblenou","Home","0 anys",103
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Home","0 anys",94
2015,10,"Sant Martí",73,"la Verneda i la Pau","Home","0 anys",97
2015,1,"Ciutat Vella",1,"el Raval","Home","1 any",203
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Home","1 any",55
2015,1,"Ciutat Vella",3,"la Barceloneta","Home","1 any",55
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","1 any",99
