"CODI_VIA","CODI_CARRER_INE","TIPUS_VIA","NOM_OFICIAL","NOM_CURT","NRE_MIN","NRE_MAX"
"000102","00001","C","Carrer dels Llebrencs","Llebrencs","",""
"000180","00002","C","Carrer A Zona Franca","A Zona Franca","",""
"000204","00003","C","Carrer de Guerau de Liost","Guerau de Liost","",""
"000306","00004","C","Carrer de l'Abat Odó","Abat Odó","",""
"000408","00005","C","Carrer de l'Abat Samsó","Abat Samsó","",""
"000500","00006","C","Carrer de l'Abat Safont","Abat Safont","",""
"000601","00007","C","Carrer de l'Abadessa Olzet","Abadessa Olzet","",""
"000703","00008","C","Carrer dels Abaixadors","Abaixadors","",""
"000805","00009","C","Carrer d'Abd el-Kader","Abd el-Kader","",""
"000907","00010","C","Carrer d'Abdó Terradas","Abdó Terradas","",""
"001003","00011","C","Carrer d'Abella","Abella","",""
"001105","00012","C","Carrer de Manuel Ballbé","Manuel Ballbé","",""
"001309","00014","C","Carrer de les Acàcies","Acàcies","",""
"001400","00015","Pl","Plaça de l'Acadèmia","Pl Acadèmia","",""
"001502","00016","C","Carrer de la Sèquia","Sèquia","",""
"001604","00017","C","Carrer de la Sèquia Comtal","Sèquia Comtal","",""
"001706","00018","C","Carrer de la Sèquia Madriguera","Sèquia Madriguera","",""
"001808","00019","C","Carrer de l'Acer","Acer","",""
"001900","00020","C","Carrer de l'Actor Morano","Actor Morano","",""
"002006","00021","C","Carrer de l'Actriu Tubau","Actriu Tubau","",""
"002050","00022","C","Carrer d'Adolf Florensa","Adolf Florensa","",""
"002200","00023","C","Carrer d'Adrall","Adrall","",""
"002210","00024","Av","Avinguda d'Adrià Gual","Av Adrià Gual","",""
"002403","00025","C","Carrer d'Adrià Margarit","Adrià Margarit","",""
"002505","00026","Pl","Plaça d'Adrià","Pl Adrià","",""
"002607","00027","C","Carrer de la Duana","Duana","",""
"002709","00028","C","Carrer dels Afores","Afores","",""
"002902","00030","C","Carrer de n'Aglà","Aglà","",""
"003009","00031","C","Carrer d'Agramunt","Agramunt","",""
"003100","00032","C","Carrer de l'Agregació","Agregació","",""
"003202","00033","C","Carrer d'Anna M. Martínez Sagi","Anna Martínez Sagi","",""
"003406","00034","C","Carrer de l'Agricultura","Agricultura","",""
"003508","00035","Ctra","Carretera de les Aigües","Ctra Aigües","",""
"003552","00036","Camí","Camí de les Aigües","Camí Aigües","",""
"003600","00037","C","Carrer dels Agudells","Agudells","",""
"003701","00038","C","Carrer de les Agudes","Agudes","",""
"003803","00039","C","Carrer de l'Àliga","Àliga","",""
"003905","00040","C","Carrer d'Aguilar","Aguilar","",""
"004001","00041","C","Carrer d'Agullana","Agullana","",""
"004103","00042","C","Carrer dels Agullers","Agullers","",""
"004125","00043","C","Carrer d'Agustí Duran i Sanpere","A Duran i Sanpere","",""
"004205","00044","C","Carrer d'Agustí i Milà","Agustí i Milà","",""
"004307","00045","C","Carrer d'Agustina Saragossa","Agustina Saragossa","",""
"004409","00046","C","Carrer d'Aiguablava","Aiguablava","",""
"004500","00047","C","Carrer d'Aiguafreda","Aiguafreda","",""
"004602","00048","C","Carrer d'Aigüesmortes","Aigüesmortes","",""
"004908","00049","C","Carrer d'Àlaba","Àlaba","",""
"005004","00050","C","Carrer de l'Alba","Alba","",""
"005106","00051","C","Carrer d'Albacete","Albacete","",""
"005208","00052","C","Carrer d'Albània","Albània","",""
"005401","00054","C","Carrer d'Albareda","Albareda","",""
"005503","00055","C","Carrer d'Ourense","Ourense","",""
"005707","00056","C","Carrer d'Albert Llanas","Albert Llanas","",""
"005809","00057","Ptge","Passatge d'Albert Pinyol","Ptge Albert Pinyol","",""
"006109","00061","C","Carrer dels Albigesos","Albigesos","",""
"006302","00063","C","Carrer d'Alcalá de Guadaira","Alcalá de Guadaira","",""
"006404","00064","Pl","Plaça de l'Alcalde Baró de Viver","Pl Alc Baró Viver","",""
"006506","00065","C","Carrer de l'Alcalde Miralles","Alcalde Miralles","",""
"006608","00066","C","Carrer de l'Alcalde de Móstoles","Alcalde Móstoles","",""
"006801","00069","C","Carrer de l'Alcalde de Zalamea","Alcalde de Zalamea","",""
"007000","00071","C","Carrer d'Alcamo","Alcamo","",""
"007101","00072","C","Carrer d'Alcanar","Alcanar","",""
"007203","00073","C","Carrer d'Alcántara","Alcántara","",""
"007258","00074","C","Carrer de Martí i Franquès","Martí i Franquès","",""
"007305","00075","Av","Avinguda de l'Exèrcit","Av Exèrcit","",""
"007407","00076","C","Carrer d'Alcolea","Alcolea","",""
"007509","00077","C","Carrer d'Alcoi","Alcoi","",""
"007600","00078","C","Carrer d'Alcúdia","Alcúdia","",""
"007702","00079","C","Carrer d'Aldana","Aldana","",""
"007804","00080","C","Carrer de l'Aldea","Aldea","",""
"007906","00081","C","Carrer de Ca l'Alegre de Dalt","Ca l'Alegre Dalt","",""
"008079","00082","C","Carrer de la Malva","Malva","",""
"008104","00083","C","Carrer d'Alexandre de Torrelles","A de Torrelles","",""
"008206","00084","C","Carrer d'Alella","Alella","",""
"008308","00085","C","Carrer de l'Alfambra","Alfambra","",""
"008400","00086","C","Carrer d'Alfarràs","Alfarràs","",""
"008501","00087","C","Carrer d'Alfons XII","Alfons XII","",""
"008603","00088","C","Carrer de Costa i Cuxart","Costa i Cuxart","",""
"008705","00089","C","Carrer d'Alfons el Magnànim","Alfons el Magnànim","",""
"008807","00090","Pl","Plaça d'Alfons el Savi","Pl Alfons el Savi","",""
"008909","00091","C","Carrer dels Algarves","Algarves","",""
"009005","00092","C","Carrer de l'Alguer","Alguer","",""
"009071","00093","Ptge","Passatge del Violer","Ptge Violer","",""
"009107","00094","C","Carrer d'Alhucemas","Alhucemas","",""
"009209","00095","C","Carrer d'Alí Bei","Alí Bei","",""
"009300","00096","Ptge","Passatge d'Alí Bei","Ptge Alí Bei","",""
"009402","00097","C","Carrer d'Alacant","Alacant","",""
"009457","00098","C","Carrer d'Alighieri","Alighieri","",""
"009606","00099","Ptge","Passatge d'Alió","Ptge Alió","",""
"009708","00100","C","Carrer dels Magatzems","Magatzems","",""
"009800","00103","C","Carrer d'Almagro","Almagro","",""
"009901","00104","C","Carrer d'Almansa","Almansa","",""
"010004","00105","Cro","Carreró de les Ànimes","Cro Ànimes","",""
"010106","00106","C","Carrer d'Almassora","Almassora","",""
"010208","00107","C","Carrer d'Almenara Alta","Almenara Alta","",""
"010300","00108","C","Carrer dels Ametllers","Ametllers","",""
"010401","00109","Ptge","Passatge dels Ametllers","Ptge Ametllers","",""
"010503","00110","C","Carrer d'Almeria","Almeria","",""
"010707","00111","C","Carrer de l'Almirall Aixada","Almirall Aixada","",""
"010809","00112","C","Carrer de l'Almirall Barceló","Almirall Barceló","",""
"010900","00113","C","Carrer de Pepe Rubianes","Pepe Rubianes","",""
"010955","00114","C","Carrer de l'Almirall Okendo","Almirall Okendo","",""
"011007","00115","C","Carrer de l'Almirall Pròixida","Almirall Pròixida","",""
"011109","00116","C","Carrer de l'Almirall Churruca","Almirall Churruca","",""
"011200","00117","C","Carrer dels Almogàvers","Almogàvers","",""
"011302","00118","C","Carrer d'Alonso Cano","Alonso Cano","",""
"011404","00119","Ptge","Passatge d'Aloi","Ptge Aloi","",""
"011506","00120","C","Carrer d'Alpens","Alpens","",""
"011583","00121","C","Carrer d'Alsàcia","Alsàcia","",""
"011608","00122","C","Carrer de n'Alsina","Alsina","",""
"011732","00124","Ptge","Passatge Alt del Turó","Ptge Alt del Turó","",""
"011776","00125","C","Carrer Alt","Alt","",""
"011801","00126","Pl","Plaça Alta de Can Clos","Pl Alta Can Clos","",""
"011903","00127","C","Carrer Alt de Gironella","Alt de Gironella","",""
"012000","00128","C","Carrer Alt de Mariner","Alt de Mariner","",""
"012101","00129","Ptge","Passatge Alt de Mariner","Ptge Alt Mariner","",""
"012203","00130","C","Carrer Alt de Pedrell","Alt de Pedrell","",""
"012305","00131","Ctra","Carretera Alta de les Roquetes","Ctra Alta Roquetes","",""
"012407","00132","C","Carrer de Sant Pere Més Alt","Sant Pere Més Alt","",""
"012509","00133","C","Carrer d'Altafulla","Altafulla","",""
"012600","00135","C","Carrer dels Alts Forns","Alts Forns","",""
"012702","00136","C","Carrer de l'Alumini","Alumini","",""
"012804","00137","C","Carrer d'Alvarado","Alvarado","",""
"012859","00138","Pg","Passeig de l'Agrícola","Pg Agrícola","",""
"012906","00139","C","Carrer d'Allada-Vermell","Allada-Vermell","",""
"013002","00140","C","Carrer d'Alloza","Alloza","",""
"013104","00141","C","Carrer d'Amadeu Vives","Amadeu Vives","",""
"013308","00142","C","Carrer de la Rosella","Rosella","",""
"013400","00143","C","Carrer de n'Amargós","Amargós","",""
"013501","00144","C","Carrer de l'Amargor","Amargor","",""
"013603","00145","C","Carrer d'Amer","Amer","",""
"013705","00146","C","Carrer d'Amèrica","Amèrica","",""
"013807","00147","Pl","Plaça d'Amich","Pl Amich","",""
"013909","00148","C","Carrer d'Amigó","Amigó","",""
"014005","00149","C","Carrer dels Amics","Amics","",""
"014107","00150","C","Carrer d'Amílcar","Amílcar","",""
"014209","00151","C","Carrer de l'Amistat","Amistat","",""
"014300","00152","C","Carrer de l'Amor","Amor","",""
"014402","00154","C","Carrer de Joan Obiols","Joan Obiols","",""
"014504","00155","C","Carrer d'Amposta","Amposta","",""
"014606","00156","C","Carrer de l'Empordà","Empordà","",""
"014708","00157","C","Carrer d'Empúries","Empúries","",""
"014800","00158","C","Carrer d'Anna Piferrer","Anna Piferrer","",""
"014821","00160","Pg","Passeig d'Anna Rúbies","Pg Anna Rúbies","",""
"014901","00162","Ptge","Passatge d'Andalet","Ptge Andalet","",""
"015008","00163","C","Carrer d'Andalusia","Andalusia","",""
"015052","00164","C","Carrer de l'Andana de l'Estació","Andana Estació","",""
"015100","00165","C","Carrer d'Andorra","Andorra","",""
"015201","00166","C","Carrer d'Andrade","Andrade","",""
"015303","00167","C","Carrer d'Andratx","Andratx","",""
"015405","00168","C","Carrer d'Andrea Doria","Andrea Doria","",""
"015507","00169","C","Carrer d'Andreu Febrer","Andreu Febrer","",""
"015700","00170","Ptge","Passatge d'Andreví","Ptge Andreví","",""
"015755","00171","C","Carrer d'Andròmeda","Andròmeda","",""
"015802","00172","C","Carrer d'Aneto","Aneto","",""
"015904","00173","C","Carrer de l'Àngel","Àngel","",""
"015959","00174","Pas","Pas de l'Àngel","Pas Àngel","",""
"016000","00175","Pl","Plaça de l'Àngel","Pl Àngel","",""
"016102","00176","C","Carrer d'Àngel J. Baixeras","Àngel J. Baixeras","",""
"016204","00177","C","Carrer d'Àngel Guimerà","Àngel Guimerà","",""
"016306","00178","C","Carrer d'Àngel Marquès","Àngel Marquès","",""
"016350","00179","Pl","Plaça d'Àngel Pestaña","Pl Àngel Pestaña","",""
"016408","00181","C","Carrer dels Àngels","Àngels","",""
"016500","00182","Camí","Camí dels Àngels","Camí Àngels","",""
"016601","00183","Pl","Plaça dels Àngels","Pl Àngels","",""
"016703","00184","C","Carrer d'Anglesola","Anglesola","",""
"016805","00185","Ptge","Passatge d'Anglesola","Ptge Anglesola","",""
"016907","00186","C","Carrer d'Anglí","Anglí","",""
"017105","00188","C","Carrer d'Anníbal","Anníbal","",""
"017309","00190","C","Carrer de l'Anisadeta","Anisadeta","",""
"017320","00191","C","Carrer d'Anselm Turmeda","Anselm Turmeda","",""
"017400","00192","C","Carrer d'Antequera","Antequera","",""
"017433","00193","C","Carrer Antic de Bofarull","Antic de Bofarull","",""
"017466","00194","Ctra","Carretera Antiga d'Horta","Ctra Antiga Horta","",""
"017502","00195","C","Carrer Antic de Sant Joan","Antic de Sant Joan","",""
"017557","00198","C","Carrer Antic del Guinardó","Antic del Guinardó","",""
"017568","00199","Ptge","Passatge Antic de València","Ptge Antic Valènci","",""
"017579","00200","Camí","Camí Antic de València","Camí Ant València","",""
"017604","00201","C","Carrer de les Antilles","Antilles","",""
"017706","00202","C","Carrer d'Antoni de Capmany","Antoni de Capmany","",""
"017808","00203","C","Carrer d'Antoni Costa","Antoni Costa","",""
"017900","00205","Ptge","Passatge d'Antoni Gassol","Ptge Antoni Gassol","",""
"018006","00206","Pl","Plaça d'Antonio López","Pl Antonio López","",""
"018200","00207","Pl","Plaça d'Antoni Maura","Pl Antoni Maura","",""
"018254","00208","C","Carrer d'Antonio Machado","Antonio Machado","",""
"018301","00209","C","Carrer de Francesc Bolòs","Francesc Bolòs","",""
"018403","00210","C","Carrer d'Antonio Ricardos","Antonio Ricardos","",""
"018505","00211","C","Carrer d'Aragó","Aragó","",""
"018607","00212","Ptge","Passatge d'Aragó","Ptge Aragó","",""
"018800","00214","C","Carrer de n'Arai","Arai","",""
"018902","00215","C","Carrer d'Arbeca","Arbeca","",""
"019100","00217","C","Carrer d'Arbós","Arbós","",""
"019202","00218","C","Carrer d'Arbúcies","Arbúcies","",""
"019257","00219","Ptge","Passatge d'Arcadia","Ptge Arcadia","",""
"019406","00220","C","Carrer de la Volta d'en Bufanalla","Volta Bufanalla","",""
"019508","00221","C","Carrer de la Volta d'en Colomines","Volta Colomines","",""
"019600","00222","C","Carrer de la Volta d'en Dusai","Volta d'en Dusai","",""
"019701","00223","C","Carrer de l'Arc de Sant Martí","Arc de Sant Martí","",""
"019803","00224","Ptge","Passatge de l'Arc de Sant Martí","Ptge Arc St Martí","",""
"019905","00225","C","Carrer de la Volta dels Jueus","Volta dels Jueus","",""
"020008","00226","C","Carrer de l'Arc del Mercat","Arc del Mercat","",""
