,Unnamed: 0,Unnamed: 0.1,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Date
133,133,133,Ciutat Vella,Sunday,December,24,Afternoon,1,0,1,2,December 24
134,134,134,Eixample,Sunday,December,24,Afternoon,1,0,1,1,December 24
135,135,135,Les Corts,Sunday,December,24,Morning,1,0,1,1,December 24
136,136,136,Sarrià-Sant Gervasi,Monday,December,25,Afternoon,4,0,4,2,December 25
137,137,137,Horta-Guinardó,Sunday,December,24,Afternoon,1,0,1,1,December 24
138,138,138,Sant Martí,Monday,December,25,Afternoon,2,0,2,2,December 25
139,139,139,Sant Martí,Sunday,December,24,Afternoon,1,0,1,1,December 24
140,140,140,Ciutat Vella,Monday,December,25,Morning,0,0,0,1,December 25
141,141,141,Eixample,Sunday,December,24,Night,1,0,1,2,December 24
142,142,142,Sants-Montjuïc,Sunday,December,24,Afternoon,1,0,1,2,December 24
143,143,143,Sarrià-Sant Gervasi,Sunday,December,24,Afternoon,2,0,2,3,December 24
144,144,144,Sant Martí,Sunday,December,24,Night,2,0,2,2,December 24
145,145,145,Ciutat Vella,Sunday,December,24,Afternoon,0,0,0,2,December 24
146,146,146,Eixample,Sunday,December,24,Afternoon,1,0,1,2,December 24
147,147,147,Sarrià-Sant Gervasi,Sunday,December,24,Night,2,0,2,3,December 24
148,148,148,Sant Martí,Sunday,December,24,Afternoon,1,0,1,2,December 24
149,149,149,Sant Martí,Monday,December,25,Night,2,0,2,2,December 25
150,150,150,Eixample,Monday,December,25,Afternoon,1,0,1,2,December 25
151,151,151,Sarrià-Sant Gervasi,Sunday,December,24,Afternoon,1,0,1,3,December 24
152,152,152,Horta-Guinardó,Monday,December,25,Morning,1,0,1,3,December 25
153,153,153,Sant Andreu,Sunday,December,24,Afternoon,2,0,2,2,December 24
154,154,154,Sant Andreu,Monday,December,25,Morning,1,0,1,2,December 25
155,155,155,Gràcia,Sunday,December,24,Morning,1,0,1,1,December 24
156,156,156,Horta-Guinardó,Sunday,December,24,Night,1,0,1,2,December 24
157,157,157,Sant Martí,Monday,December,25,Afternoon,1,0,1,2,December 25
158,158,158,Sarrià-Sant Gervasi,Sunday,December,24,Night,1,0,1,1,December 24
159,159,159,Sant Martí,Monday,December,25,Afternoon,1,0,1,2,December 25
160,160,160,Sant Martí,Monday,December,25,Afternoon,1,0,1,1,December 25
161,161,161,Eixample,Sunday,December,24,Afternoon,1,0,1,2,December 24
162,162,162,Sarrià-Sant Gervasi,Sunday,December,24,Morning,1,0,1,1,December 24
