,Unnamed: 0,Unnamed: 0.1,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Date
258,258,258,Sant Martí,Saturday,September,9,Afternoon,2,0,2,2,September 9
259,259,259,Sant Martí,Saturday,September,9,Night,1,0,1,2,September 9
261,261,261,Eixample,Saturday,September,9,Morning,1,0,1,1,September 9
262,262,262,Eixample,Friday,September,8,Night,1,0,1,2,September 8
265,265,265,Sant Martí,Friday,September,8,Morning,1,0,1,2,September 8
266,266,266,Sant Martí,Saturday,September,9,Morning,0,0,0,1,September 9
272,272,272,Horta-Guinardó,Saturday,September,9,Afternoon,1,0,1,2,September 9
273,273,273,Horta-Guinardó,Friday,September,8,Morning,1,0,1,2,September 8
274,274,274,Nou Barris,Saturday,September,9,Afternoon,3,0,3,2,September 9
276,276,276,Eixample,Friday,September,8,Afternoon,2,0,2,2,September 8
277,277,277,Les Corts,Friday,September,8,Morning,1,0,1,2,September 8
279,279,279,Gràcia,Saturday,September,9,Night,1,0,1,2,September 9
280,280,280,Horta-Guinardó,Saturday,September,9,Morning,1,0,1,2,September 9
281,281,281,Sant Andreu,Saturday,September,9,Night,1,0,1,2,September 9
283,283,283,Sant Martí,Friday,September,8,Morning,0,0,0,1,September 8
285,285,285,Sant Martí,Saturday,September,9,Morning,3,0,3,1,September 9
286,286,286,Ciutat Vella,Friday,September,8,Morning,1,0,1,4,September 8
288,288,288,Eixample,Friday,September,8,Morning,2,0,2,2,September 8
289,289,289,Sants-Montjuïc,Friday,September,8,Morning,1,0,1,2,September 8
290,290,290,Les Corts,Saturday,September,9,Afternoon,2,0,2,3,September 9
291,291,291,Gràcia,Saturday,September,9,Morning,1,0,1,2,September 9
292,292,292,Nou Barris,Saturday,September,9,Afternoon,0,0,0,1,September 9
293,293,293,Nou Barris,Friday,September,8,Night,1,0,1,2,September 8
294,294,294,Sant Andreu,Saturday,September,9,Afternoon,4,0,4,2,September 9
296,296,296,Ciutat Vella,Friday,September,8,Night,2,0,2,1,September 8
298,298,298,Eixample,Friday,September,8,Afternoon,1,0,1,2,September 8
299,299,299,Eixample,Friday,September,8,Morning,1,0,1,2,September 8
300,300,300,Sants-Montjuïc,Friday,September,8,Morning,1,0,1,2,September 8
302,302,302,Sarrià-Sant Gervasi,Saturday,September,9,Afternoon,0,0,0,2,September 9
304,304,304,Sant Andreu,Friday,September,8,Afternoon,0,0,0,1,September 8
305,305,305,Sant Andreu,Friday,September,8,Afternoon,1,0,1,2,September 8
306,306,306,Sant Andreu,Friday,September,8,Night,1,0,1,2,September 8
307,307,307,Eixample,Friday,September,8,Morning,1,0,1,2,September 8
308,308,308,Eixample,Friday,September,8,Morning,1,0,1,2,September 8
310,310,310,Sarrià-Sant Gervasi,Friday,September,8,Afternoon,1,0,1,3,September 8
311,311,311,Sarrià-Sant Gervasi,Friday,September,8,Night,1,0,1,2,September 8
312,312,312,Gràcia,Friday,September,8,Morning,1,0,1,3,September 8
314,314,314,Ciutat Vella,Saturday,September,9,Afternoon,1,0,1,2,September 9
316,316,316,Les Corts,Friday,September,8,Afternoon,1,0,1,2,September 8
317,317,317,Les Corts,Saturday,September,9,Afternoon,2,0,2,1,September 9
318,318,318,Les Corts,Friday,September,8,Afternoon,1,0,1,2,September 8
319,319,319,Gràcia,Saturday,September,9,Morning,1,0,1,1,September 9
322,322,322,Eixample,Saturday,September,9,Afternoon,1,0,1,2,September 9
323,323,323,Les Corts,Friday,September,8,Morning,1,0,1,2,September 8
325,325,325,Sarrià-Sant Gervasi,Friday,September,8,Afternoon,1,0,1,1,September 8
