,Unnamed: 0,Unnamed: 0.1,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Date
198,198,198,Sant Martí,Monday,April,17,Afternoon,1,0,1,2,April 17
199,199,199,Sant Martí,Friday,April,14,Morning,1,0,1,2,April 14
200,200,200,Eixample,Saturday,April,15,Afternoon,1,0,1,3,April 15
201,201,201,Eixample,Saturday,April,15,Afternoon,1,0,1,2,April 15
202,202,202,Eixample,Sunday,April,16,Morning,1,1,2,2,April 16
203,203,203,Eixample,Monday,April,17,Afternoon,1,0,1,2,April 17
204,204,204,Gràcia,Saturday,April,15,Morning,1,0,1,2,April 15
205,205,205,Horta-Guinardó,Sunday,April,16,Night,1,0,1,4,April 16
206,206,206,Horta-Guinardó,Monday,April,17,Afternoon,1,0,1,2,April 17
207,207,207,Sant Martí,Sunday,April,16,Afternoon,4,0,4,2,April 16
208,208,208,Sant Martí,Friday,April,14,Morning,1,0,1,2,April 14
209,209,209,Ciutat Vella,Friday,April,14,Afternoon,2,0,2,1,April 14
210,210,210,Eixample,Friday,April,14,Morning,1,0,1,2,April 14
211,211,211,Eixample,Monday,April,17,Afternoon,1,0,1,1,April 17
212,212,212,Sants-Montjuïc,Friday,April,14,Afternoon,0,0,0,2,April 14
213,213,213,Sants-Montjuïc,Monday,April,17,Afternoon,1,0,1,1,April 17
214,214,214,Sants-Montjuïc,Monday,April,17,Morning,1,0,1,2,April 17
215,215,215,Sarrià-Sant Gervasi,Sunday,April,16,Morning,4,0,4,3,April 16
216,216,216,Sarrià-Sant Gervasi,Friday,April,14,Afternoon,1,0,1,2,April 14
217,217,217,Sant Andreu,Friday,April,14,Afternoon,1,0,1,1,April 14
218,218,218,Sant Martí,Sunday,April,16,Morning,0,0,0,2,April 16
219,219,219,Sant Martí,Monday,April,17,Morning,1,0,1,1,April 17
220,220,220,Sant Martí,Monday,April,17,Afternoon,2,0,2,2,April 17
221,221,221,Eixample,Friday,April,14,Afternoon,1,0,1,2,April 14
222,222,222,Eixample,Friday,April,14,Morning,1,0,1,2,April 14
223,223,223,Sarrià-Sant Gervasi,Friday,April,14,Afternoon,1,0,1,2,April 14
224,224,224,Sarrià-Sant Gervasi,Saturday,April,15,Morning,2,0,2,2,April 15
225,225,225,Sant Andreu,Saturday,April,15,Afternoon,1,0,1,2,April 15
226,226,226,Ciutat Vella,Friday,April,14,Afternoon,1,0,1,1,April 14
227,227,227,Eixample,Friday,April,14,Morning,0,1,1,1,April 14
228,228,228,Sarrià-Sant Gervasi,Friday,April,14,Night,1,0,1,1,April 14
229,229,229,Horta-Guinardó,Saturday,April,15,Night,3,0,3,2,April 15
230,230,230,Eixample,Friday,April,14,Afternoon,2,0,2,1,April 14
231,231,231,Eixample,Friday,April,14,Afternoon,0,0,0,2,April 14
232,232,232,Sants-Montjuïc,Saturday,April,15,Morning,1,0,1,2,April 15
233,233,233,Sants-Montjuïc,Friday,April,14,Afternoon,1,0,1,2,April 14
234,234,234,Sants-Montjuïc,Monday,April,17,Afternoon,1,0,1,1,April 17
235,235,235,Les Corts,Saturday,April,15,Afternoon,1,0,1,2,April 15
236,236,236,Horta-Guinardó,Monday,April,17,Afternoon,1,0,1,2,April 17
237,237,237,Sant Andreu,Monday,April,17,Morning,1,0,1,2,April 17
238,238,238,Eixample,Saturday,April,15,Morning,1,0,1,2,April 15
239,239,239,Eixample,Friday,April,14,Night,1,0,1,2,April 14
240,240,240,Eixample,Sunday,April,16,Afternoon,1,0,1,1,April 16
241,241,241,Eixample,Sunday,April,16,Morning,1,0,1,1,April 16
242,242,242,Horta-Guinardó,Saturday,April,15,Night,1,0,1,2,April 15
243,243,243,Nou Barris,Saturday,April,15,Morning,2,0,2,2,April 15
244,244,244,Nou Barris,Saturday,April,15,Night,0,0,0,4,April 15
245,245,245,Sant Andreu,Friday,April,14,Night,1,0,1,2,April 14
246,246,246,Ciutat Vella,Monday,April,17,Night,1,0,1,2,April 17
247,247,247,Ciutat Vella,Saturday,April,15,Morning,2,0,2,1,April 15
248,248,248,Eixample,Saturday,April,15,Afternoon,1,0,1,2,April 15
249,249,249,Eixample,Saturday,April,15,Afternoon,2,0,2,2,April 15
250,250,250,Sarrià-Sant Gervasi,Friday,April,14,Morning,1,0,1,2,April 14
251,251,251,Sarrià-Sant Gervasi,Saturday,April,15,Morning,0,0,0,1,April 15
252,252,252,Nou Barris,Saturday,April,15,Night,0,1,1,3,April 15
253,253,253,Ciutat Vella,Friday,April,14,Morning,1,0,1,1,April 14
254,254,254,Eixample,Saturday,April,15,Afternoon,1,0,1,1,April 15
255,255,255,Sants-Montjuïc,Monday,April,17,Afternoon,1,0,1,2,April 17
256,256,256,Horta-Guinardó,Saturday,April,15,Night,0,0,0,1,April 15
257,257,257,Nou Barris,Friday,April,14,Afternoon,2,0,2,1,April 14
