,Unnamed: 0,Unnamed: 0.1,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Date
38,38,38,Sant Martí,Sunday,September,24,Morning,1,0,1,4,September 24
39,39,39,Sant Martí,Sunday,September,24,Night,1,0,1,1,September 24
40,40,40,Ciutat Vella,Monday,September,25,Afternoon,1,0,1,3,September 25
41,41,41,Eixample,Saturday,September,23,Night,2,0,2,2,September 23
42,42,42,Eixample,Sunday,September,24,Afternoon,0,0,0,1,September 24
43,43,43,Eixample,Friday,September,22,Morning,1,0,1,2,September 22
44,44,44,Sants-Montjuïc,Friday,September,22,Afternoon,2,0,2,2,September 22
45,45,45,Les Corts,Friday,September,22,Morning,2,0,2,2,September 22
46,46,46,Gràcia,Sunday,September,24,Afternoon,1,0,1,1,September 24
47,47,47,Gràcia,Monday,September,25,Afternoon,2,0,2,2,September 25
48,48,48,Gràcia,Friday,September,22,Afternoon,0,0,0,1,September 22
49,49,49,Gràcia,Sunday,September,24,Afternoon,1,0,1,2,September 24
50,50,50,Nou Barris,Monday,September,25,Morning,0,0,0,1,September 25
51,51,51,Unknown,Sunday,September,24,Morning,2,0,2,2,September 24
52,52,52,Sant Martí,Friday,September,22,Night,0,0,0,4,September 22
53,53,53,Sant Martí,Friday,September,22,Night,0,0,0,1,September 22
54,54,54,Eixample,Friday,September,22,Morning,1,0,1,2,September 22
55,55,55,Eixample,Sunday,September,24,Morning,1,0,1,2,September 24
56,56,56,Sants-Montjuïc,Saturday,September,23,Afternoon,4,0,4,6,September 23
57,57,57,Horta-Guinardó,Friday,September,22,Afternoon,1,0,1,3,September 22
58,58,58,Nou Barris,Friday,September,22,Afternoon,1,0,1,2,September 22
59,59,59,Sant Martí,Friday,September,22,Morning,1,0,1,2,September 22
60,60,60,Ciutat Vella,Monday,September,25,Night,1,0,1,3,September 25
61,61,61,Ciutat Vella,Saturday,September,23,Afternoon,1,0,1,2,September 23
62,62,62,Eixample,Monday,September,25,Morning,1,0,1,2,September 25
63,63,63,Eixample,Sunday,September,24,Night,2,0,2,2,September 24
64,64,64,Eixample,Sunday,September,24,Night,1,0,1,1,September 24
65,65,65,Eixample,Friday,September,22,Night,2,0,2,2,September 22
66,66,66,Sants-Montjuïc,Friday,September,22,Afternoon,2,0,2,2,September 22
67,67,67,Sants-Montjuïc,Sunday,September,24,Afternoon,1,0,1,2,September 24
68,68,68,Sants-Montjuïc,Friday,September,22,Afternoon,2,0,2,2,September 22
69,69,69,Sants-Montjuïc,Monday,September,25,Afternoon,1,0,1,1,September 25
70,70,70,Sarrià-Sant Gervasi,Friday,September,22,Afternoon,1,0,1,2,September 22
71,71,71,Eixample,Sunday,September,24,Afternoon,2,0,2,1,September 24
72,72,72,Eixample,Saturday,September,23,Afternoon,2,0,2,1,September 23
73,73,73,Eixample,Friday,September,22,Morning,1,0,1,2,September 22
74,74,74,Eixample,Friday,September,22,Night,0,0,0,1,September 22
75,75,75,Eixample,Sunday,September,24,Morning,2,0,2,2,September 24
76,76,76,Les Corts,Saturday,September,23,Morning,1,0,1,3,September 23
