,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
0,Unknown,Friday,October,13,Morning,2,0,2,2
1,Unknown,Friday,September,1,Morning,2,0,2,2
3,Unknown,Friday,July,21,Night,1,0,1,2
4,Sant Martí,Thursday,May,25,Afternoon,1,0,1,3
5,Sant Martí,Wednesday,September,20,Morning,1,0,1,2
6,Sant Martí,Saturday,May,20,Afternoon,1,0,1,2
8,Sant Martí,Monday,June,12,Afternoon,1,0,1,1
9,Sant Martí,Wednesday,May,3,Afternoon,1,0,1,1
10,Sant Martí,Thursday,December,14,Afternoon,1,0,1,2
11,Sant Martí,Wednesday,January,11,Morning,1,0,1,2
12,Sant Martí,Friday,June,30,Morning,1,0,1,2
13,Sant Martí,Monday,September,4,Afternoon,0,1,1,2
14,Sant Martí,Saturday,September,30,Afternoon,1,0,1,2
16,Sant Martí,Saturday,March,25,Afternoon,4,0,4,2
17,Sant Martí,Thursday,November,9,Night,1,0,1,1
18,Sant Martí,Monday,December,4,Night,2,0,2,2
19,Sant Martí,Friday,March,17,Afternoon,1,0,1,2
20,Sant Martí,Thursday,September,14,Afternoon,1,0,1,2
21,Sant Martí,Wednesday,September,20,Afternoon,0,1,1,2
22,Sant Martí,Monday,October,30,Afternoon,1,0,1,2
23,Sant Martí,Monday,March,20,Afternoon,1,0,1,2
24,Sant Martí,Tuesday,February,7,Morning,1,0,1,1
25,Sant Martí,Wednesday,November,22,Afternoon,1,0,1,2
26,Sant Martí,Wednesday,March,8,Morning,1,0,1,2
27,Sant Martí,Saturday,October,7,Morning,2,0,2,4
28,Sant Martí,Wednesday,May,17,Morning,0,0,0,2
30,Sant Martí,Thursday,August,31,Afternoon,0,1,1,1
32,Sant Martí,Thursday,February,2,Morning,1,0,1,2
33,Sant Martí,Saturday,February,11,Afternoon,1,0,1,2
34,Sant Martí,Thursday,August,31,Morning,2,0,2,3
35,Sant Martí,Monday,March,20,Afternoon,1,0,1,1
36,Sant Martí,Friday,November,10,Morning,1,0,1,1
37,Sant Martí,Wednesday,March,15,Night,1,0,1,1
38,Sant Martí,Tuesday,June,13,Morning,1,0,1,2
39,Sant Martí,Tuesday,August,1,Afternoon,1,0,1,2
40,Sant Martí,Wednesday,June,28,Afternoon,1,0,1,2
41,Sant Martí,Thursday,January,12,Morning,1,0,1,2
42,Sant Martí,Monday,January,23,Afternoon,1,0,1,2
43,Sant Martí,Wednesday,June,21,Afternoon,1,0,1,1
44,Sant Martí,Friday,September,1,Afternoon,0,0,0,1
45,Sant Martí,Friday,January,27,Afternoon,2,0,2,2
46,Sant Martí,Wednesday,March,8,Morning,1,0,1,2
47,Sant Martí,Friday,January,20,Morning,1,0,1,2
48,Sant Martí,Monday,July,24,Afternoon,1,0,1,2
49,Sant Martí,Tuesday,May,16,Morning,1,0,1,2
50,Sant Martí,Wednesday,February,1,Afternoon,1,0,1,2
51,Sant Martí,Saturday,February,25,Morning,1,0,1,2
