,Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
162,2017S005486    ,Ciutat Vella,el Raval,Nou de la Rambla                                  ,Friday,June,23,1,Night,1,0,1,1,2.170537,41.375415000000004
284,2017S005492    ,Eixample,la Nova Esquerra de l'Eixample,València                                          ,Friday,June,23,10,Morning,1,0,1,2,2.1492080000000002,41.381935
411,2017S005488    ,Eixample,l'Antiga Esquerra de l'Eixample,Aragó                                             ,Friday,June,23,9,Morning,1,0,1,2,2.1611599999999997,41.389575
577,2017S005505    ,Eixample,la Dreta de l'Eixample,Roger de Llúria / Corts Catalanes                 ,Friday,June,23,16,Afternoon,1,0,1,2,2.170988,41.391484999999996
730,2017S005504    ,Sants-Montjuïc,la Font de la Guatlla,Corts Catalanes                                   ,Friday,June,23,17,Afternoon,2,0,2,1,2.145781,41.372183
761,2017S005500    ,Les Corts,les Corts,Madrid                                            ,Friday,June,23,15,Afternoon,1,0,1,2,2.13473,41.381338
819,2017S005515    ,Les Corts,Pedralbes,Dalt (Llobregat)                                  ,Friday,June,23,18,Afternoon,1,0,1,3,2.107589,41.389047999999995
1127,2017S005519    ,Nou Barris,Canyelles,Karl Marx                                         ,Saturday,June,24,14,Afternoon,1,0,1,2,2.1617740000000003,41.440827
1560,2017S005495    ,Eixample,la Sagrada Família,Lepant / Enamorats                                ,Friday,June,23,12,Morning,1,0,1,2,2.1802599999999996,41.401742
1627,2017S005497    ,Eixample,l'Antiga Esquerra de l'Eixample,València / Casanova                               ,Friday,June,23,14,Afternoon,1,0,1,2,2.156205,41.387333
1699,2017S005494    ,Eixample,la Dreta de l'Eixample,Aragó / Roger de Flor                             ,Friday,June,23,11,Morning,1,0,1,2,2.1731830000000003,41.398395
1780,2017S005523    ,Eixample,el Fort Pienc,Corts Catalanes                                   ,Saturday,June,24,22,Night,1,0,1,2,2.183999,41.400903
2457,2017S005484    ,Sant Andreu,la Sagrera,Felip II / Josep Estivill                         ,Friday,June,23,1,Night,1,0,1,2,2.189084,41.418741
2491,2017S005506    ,Sant Andreu,Sant Andreu,Torras i Bages / Residència                       ,Friday,June,23,17,Afternoon,1,0,1,2,2.190972,41.439864
2507,2017S005502    ,Sant Andreu,Sant Andreu,Sòcrates / Neopàtria                              ,Friday,June,23,15,Afternoon,1,0,1,2,2.188764,41.431855
2575,2017S005517    ,Sant Martí,la Verneda i la Pau,Prim                                              ,Friday,June,23,22,Night,1,0,1,1,2.204164,41.423167
2843,2017S005512    ,Eixample,la Dreta de l'Eixample,València / Pau Claris                             ,Friday,June,23,21,Afternoon,1,0,1,2,2.165261,41.394135999999996
2877,2017S005503    ,Eixample,la Dreta de l'Eixample,Rosselló                                          ,Friday,June,23,16,Afternoon,0,0,0,2,2.157717,41.393726
2901,2017S005509    ,Eixample,l'Antiga Esquerra de l'Eixample,Consell de Cent / Villarroel                      ,Friday,June,23,13,Morning,1,0,1,1,2.157334,41.384783
3044,2017S005483    ,Eixample,la Dreta de l'Eixample,Catalunya                                         ,Friday,June,23,0,Night,0,0,0,1,2.1685630000000002,41.386984999999996
3143,2017S005496    ,Eixample,la Sagrada Família,Diagonal                                          ,Friday,June,23,12,Morning,1,0,1,1,2.175626,41.400815
3783,2017S005487    ,Sant Andreu,el Bon Pastor,Fra Juníper Serra                                 ,Friday,June,23,8,Morning,1,0,1,2,2.202127,41.433709
4010,2017S005513    ,Ciutat Vella,el Raval,Torres i Amat                                     ,Saturday,June,24,2,Night,0,0,0,1,2.165822,41.384444
4584,2017S005493    ,Les Corts,les Corts,Corts                                             ,Friday,June,23,10,Morning,1,0,1,2,2.141118,41.390178999999996
4877,2017S005516    ,Horta-Guinardó,la Vall d'Hebron,Dalt (Besòs)                                      ,Friday,June,23,16,Afternoon,2,0,2,4,2.1442900000000003,41.428936
5302,2017S005498    ,Ciutat Vella,la Barceloneta,Doctor Aiguader / Carbonell                       ,Friday,June,23,15,Afternoon,1,0,1,1,2.187164,41.382634
6096,2017S005511    ,Sarrià-Sant Gervasi,el Putxet i el Farró,República Argentina / Ballester                   ,Friday,June,23,20,Afternoon,1,0,1,2,2.147442,41.408246000000005
7005,2017S005507    ,Eixample,el Fort Pienc,Roger de Flor                                     ,Friday,June,23,18,Afternoon,1,0,1,2,2.177348,41.395374
7108,2017S005518    ,Sants-Montjuïc,la Marina de Port,Corts Catalanes                                   ,Saturday,June,24,11,Morning,1,0,1,2,2.139566,41.367509999999996
7303,2017S005514    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Pau Casals / Francesc Macià                       ,Friday,June,23,22,Night,1,0,1,2,2.144222,41.393031
7778,2017S005499    ,Sant Martí,el Besòs i el Maresme,Litoral (Llobregat)                               ,Friday,June,23,15,Afternoon,1,0,1,2,2.220952,41.408827
7868,2017S005521    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Selva de Mar                                      ,Saturday,June,24,17,Afternoon,1,0,1,2,2.21453,41.404462
7987,2017S005522    ,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Laietana                                          ,Saturday,June,24,20,Afternoon,1,0,1,2,2.178973,41.383989
8059,2017S005520    ,Eixample,la Dreta de l'Eixample,Aragó / Balmes                                    ,Saturday,June,24,16,Afternoon,0,0,0,2,2.16187,41.389891
8740,2017S005501    ,Gràcia,Vallcarca i els Penitents,Alfonso Comín                                     ,Friday,June,23,15,Afternoon,1,0,1,2,2.1383799999999997,41.414381
9455,2017S005508    ,Eixample,l'Antiga Esquerra de l'Eixample,Diputació / Aribau                                ,Friday,June,23,16,Afternoon,1,0,1,2,2.161864,41.386483
9813,2017S005489    ,Sants-Montjuïc,Sants,Escuder / Socors                                  ,Friday,June,23,8,Morning,1,0,1,2,2.131307,41.376874
10017,2017S005524    ,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,B-20 (Besòs)                                      ,Saturday,June,24,22,Night,4,0,4,2,2.121148,41.406565
95,2017S007904    ,Sant Martí,Provençals del Poblenou,Corts Catalanes / Bac de Roda                     ,Sunday,September,24,9,Morning,1,0,1,4,2.1981900000000003,41.411891
137,2017S007902    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Garcia Fària                                      ,Sunday,September,24,4,Night,1,0,1,1,2.218669,41.407651
204,2017S007932    ,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Litoral (Llobregat)                               ,Monday,September,25,19,Afternoon,1,0,1,3,2.183891,41.381171
427,2017S007876    ,Eixample,l'Antiga Esquerra de l'Eixample,París / Muntaner                                  ,Saturday,September,23,5,Night,2,0,2,2,2.151684,41.392459
534,2017S007920    ,Eixample,la Dreta de l'Eixample,Catalunya                                         ,Sunday,September,24,21,Afternoon,0,0,0,1,2.1694009999999997,41.386016
612,2017S007847    ,Eixample,el Fort Pienc,Diputació / Sardenya                              ,Friday,September,22,10,Morning,1,0,1,2,2.178844,41.399225
721,2017S007853    ,Sants-Montjuïc,Hostafrancs,Espanya                                           ,Friday,September,22,15,Afternoon,2,0,2,2,2.148113,41.374967
775,2017S007841    ,Les Corts,la Maternitat i Sant Ramon,Corts                                             ,Friday,September,22,7,Morning,2,0,2,2,2.120461,41.37748
994,2017S007909    ,Gràcia,el Coll,Mare de Déu del Coll                              ,Sunday,September,24,15,Afternoon,1,0,1,1,2.148361,41.41863
995,2017S007931    ,Gràcia,el Coll,Mare de Déu del Coll                              ,Monday,September,25,19,Afternoon,2,0,2,2,2.148662,41.419226
