,Unnamed: 0,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Date
0,0,Ciutat Vella,Friday,June,23,Night,1,0,1,1,June 23
1,1,Eixample,Friday,June,23,Morning,1,0,1,2,June 23
2,2,Eixample,Friday,June,23,Morning,1,0,1,2,June 23
3,3,Eixample,Friday,June,23,Afternoon,1,0,1,2,June 23
4,4,Sants-Montjuïc,Friday,June,23,Afternoon,2,0,2,1,June 23
5,5,Les Corts,Friday,June,23,Afternoon,1,0,1,2,June 23
6,6,Les Corts,Friday,June,23,Afternoon,1,0,1,3,June 23
7,7,Nou Barris,Saturday,June,24,Afternoon,1,0,1,2,June 24
8,8,Eixample,Friday,June,23,Morning,1,0,1,2,June 23
9,9,Eixample,Friday,June,23,Afternoon,1,0,1,2,June 23
10,10,Eixample,Friday,June,23,Morning,1,0,1,2,June 23
11,11,Eixample,Saturday,June,24,Night,1,0,1,2,June 24
12,12,Sant Andreu,Friday,June,23,Night,1,0,1,2,June 23
13,13,Sant Andreu,Friday,June,23,Afternoon,1,0,1,2,June 23
14,14,Sant Andreu,Friday,June,23,Afternoon,1,0,1,2,June 23
15,15,Sant Martí,Friday,June,23,Night,1,0,1,1,June 23
16,16,Eixample,Friday,June,23,Afternoon,1,0,1,2,June 23
17,17,Eixample,Friday,June,23,Afternoon,0,0,0,2,June 23
18,18,Eixample,Friday,June,23,Morning,1,0,1,1,June 23
19,19,Eixample,Friday,June,23,Night,0,0,0,1,June 23
20,20,Eixample,Friday,June,23,Morning,1,0,1,1,June 23
21,21,Sant Andreu,Friday,June,23,Morning,1,0,1,2,June 23
22,22,Ciutat Vella,Saturday,June,24,Night,0,0,0,1,June 24
23,23,Les Corts,Friday,June,23,Morning,1,0,1,2,June 23
24,24,Horta-Guinardó,Friday,June,23,Afternoon,2,0,2,4,June 23
25,25,Ciutat Vella,Friday,June,23,Afternoon,1,0,1,1,June 23
26,26,Sarrià-Sant Gervasi,Friday,June,23,Afternoon,1,0,1,2,June 23
27,27,Eixample,Friday,June,23,Afternoon,1,0,1,2,June 23
28,28,Sants-Montjuïc,Saturday,June,24,Morning,1,0,1,2,June 24
29,29,Sarrià-Sant Gervasi,Friday,June,23,Night,1,0,1,2,June 23
30,30,Sant Martí,Friday,June,23,Afternoon,1,0,1,2,June 23
31,31,Sant Martí,Saturday,June,24,Afternoon,1,0,1,2,June 24
32,32,Ciutat Vella,Saturday,June,24,Afternoon,1,0,1,2,June 24
33,33,Eixample,Saturday,June,24,Afternoon,0,0,0,2,June 24
34,34,Gràcia,Friday,June,23,Afternoon,1,0,1,2,June 23
35,35,Eixample,Friday,June,23,Afternoon,1,0,1,2,June 23
36,36,Sants-Montjuïc,Friday,June,23,Morning,1,0,1,2,June 23
37,37,Sarrià-Sant Gervasi,Saturday,June,24,Night,4,0,4,2,June 24
38,38,Sant Martí,Sunday,September,24,Morning,1,0,1,4,September 24
39,39,Sant Martí,Sunday,September,24,Night,1,0,1,1,September 24
40,40,Ciutat Vella,Monday,September,25,Afternoon,1,0,1,3,September 25
41,41,Eixample,Saturday,September,23,Night,2,0,2,2,September 23
42,42,Eixample,Sunday,September,24,Afternoon,0,0,0,1,September 24
43,43,Eixample,Friday,September,22,Morning,1,0,1,2,September 22
44,44,Sants-Montjuïc,Friday,September,22,Afternoon,2,0,2,2,September 22
45,45,Les Corts,Friday,September,22,Morning,2,0,2,2,September 22
46,46,Gràcia,Sunday,September,24,Afternoon,1,0,1,1,September 24
47,47,Gràcia,Monday,September,25,Afternoon,2,0,2,2,September 25
48,48,Gràcia,Friday,September,22,Afternoon,0,0,0,1,September 22
49,49,Gràcia,Sunday,September,24,Afternoon,1,0,1,2,September 24
50,50,Nou Barris,Monday,September,25,Morning,0,0,0,1,September 25
51,51,Unknown,Sunday,September,24,Morning,2,0,2,2,September 24
52,52,Sant Martí,Friday,September,22,Night,0,0,0,4,September 22
53,53,Sant Martí,Friday,September,22,Night,0,0,0,1,September 22
54,54,Eixample,Friday,September,22,Morning,1,0,1,2,September 22
55,55,Eixample,Sunday,September,24,Morning,1,0,1,2,September 24
56,56,Sants-Montjuïc,Saturday,September,23,Afternoon,4,0,4,6,September 23
57,57,Horta-Guinardó,Friday,September,22,Afternoon,1,0,1,3,September 22
58,58,Nou Barris,Friday,September,22,Afternoon,1,0,1,2,September 22
59,59,Sant Martí,Friday,September,22,Morning,1,0,1,2,September 22
60,60,Ciutat Vella,Monday,September,25,Night,1,0,1,3,September 25
61,61,Ciutat Vella,Saturday,September,23,Afternoon,1,0,1,2,September 23
62,62,Eixample,Monday,September,25,Morning,1,0,1,2,September 25
63,63,Eixample,Sunday,September,24,Night,2,0,2,2,September 24
64,64,Eixample,Sunday,September,24,Night,1,0,1,1,September 24
65,65,Eixample,Friday,September,22,Night,2,0,2,2,September 22
66,66,Sants-Montjuïc,Friday,September,22,Afternoon,2,0,2,2,September 22
67,67,Sants-Montjuïc,Sunday,September,24,Afternoon,1,0,1,2,September 24
68,68,Sants-Montjuïc,Friday,September,22,Afternoon,2,0,2,2,September 22
69,69,Sants-Montjuïc,Monday,September,25,Afternoon,1,0,1,1,September 25
70,70,Sarrià-Sant Gervasi,Friday,September,22,Afternoon,1,0,1,2,September 22
71,71,Eixample,Sunday,September,24,Afternoon,2,0,2,1,September 24
72,72,Eixample,Saturday,September,23,Afternoon,2,0,2,1,September 23
73,73,Eixample,Friday,September,22,Morning,1,0,1,2,September 22
74,74,Eixample,Friday,September,22,Night,0,0,0,1,September 22
75,75,Eixample,Sunday,September,24,Morning,2,0,2,2,September 24
76,76,Les Corts,Saturday,September,23,Morning,1,0,1,3,September 23
77,77,Les Corts,Friday,September,22,Afternoon,2,0,2,2,September 22
78,78,Les Corts,Friday,September,22,Morning,2,0,2,2,September 22
79,79,Nou Barris,Monday,September,25,Morning,1,0,1,2,September 25
80,80,Nou Barris,Sunday,September,24,Afternoon,5,0,5,5,September 24
81,81,Sant Martí,Saturday,September,23,Morning,2,0,2,1,September 23
82,82,Sant Martí,Saturday,September,23,Afternoon,1,0,1,2,September 23
83,83,Sant Martí,Saturday,September,23,Afternoon,1,0,1,2,September 23
84,84,Ciutat Vella,Friday,September,22,Afternoon,2,0,2,2,September 22
85,85,Ciutat Vella,Monday,September,25,Morning,0,0,0,2,September 25
86,86,Eixample,Friday,September,22,Afternoon,1,0,1,2,September 22
87,87,Eixample,Sunday,September,24,Night,1,0,1,1,September 24
88,88,Eixample,Sunday,September,24,Afternoon,1,0,1,2,September 24
89,89,Sarrià-Sant Gervasi,Friday,September,22,Afternoon,1,0,1,2,September 22
90,90,Sarrià-Sant Gervasi,Friday,September,22,Morning,2,0,2,3,September 22
91,91,Horta-Guinardó,Friday,September,22,Afternoon,1,0,1,2,September 22
92,92,Horta-Guinardó,Saturday,September,23,Morning,1,0,1,2,September 23
93,93,Sants-Montjuïc,Saturday,September,23,Morning,2,0,2,2,September 23
94,94,Sants-Montjuïc,Friday,September,22,Afternoon,1,0,1,2,September 22
95,95,Les Corts,Monday,September,25,Afternoon,1,0,1,2,September 25
96,96,Les Corts,Sunday,September,24,Afternoon,1,0,1,2,September 24
97,97,Les Corts,Saturday,September,23,Afternoon,1,0,1,2,September 23
98,98,Les Corts,Sunday,September,24,Night,1,0,1,2,September 24
99,99,Sarrià-Sant Gervasi,Monday,September,25,Morning,2,0,2,1,September 25
100,100,Horta-Guinardó,Saturday,September,23,Afternoon,2,0,2,2,September 23
101,101,Horta-Guinardó,Friday,September,22,Afternoon,1,0,1,2,September 22
102,102,Horta-Guinardó,Sunday,September,24,Morning,1,0,1,1,September 24
103,103,Horta-Guinardó,Friday,September,22,Afternoon,1,0,1,2,September 22
104,104,Horta-Guinardó,Friday,September,22,Afternoon,1,0,1,2,September 22
105,105,Horta-Guinardó,Saturday,September,23,Afternoon,1,0,1,2,September 23
106,106,Nou Barris,Friday,September,22,Morning,2,0,2,5,September 22
107,107,Sant Martí,Friday,September,22,Afternoon,1,0,1,3,September 22
108,108,Sant Martí,Monday,September,25,Afternoon,1,0,1,3,September 25
109,109,Eixample,Monday,September,25,Morning,1,0,1,2,September 25
110,110,Eixample,Friday,September,22,Morning,0,1,1,1,September 22
111,111,Eixample,Sunday,September,24,Afternoon,1,0,1,2,September 24
112,112,Sarrià-Sant Gervasi,Sunday,September,24,Night,1,0,1,2,September 24
113,113,Sarrià-Sant Gervasi,Sunday,September,24,Night,1,0,1,1,September 24
114,114,Sarrià-Sant Gervasi,Saturday,September,23,Afternoon,1,0,1,2,September 23
115,115,Sarrià-Sant Gervasi,Saturday,September,23,Afternoon,2,0,2,1,September 23
116,116,Nou Barris,Friday,September,22,Night,0,0,0,2,September 22
117,117,Sant Martí,Friday,September,22,Morning,1,0,1,1,September 22
118,118,Sant Martí,Saturday,September,23,Night,0,0,0,1,September 23
119,119,Sant Martí,Saturday,September,23,Afternoon,0,0,0,2,September 23
