dist,population,net_density(hab/ha),num_immi,bars,children_places,cinemas_theatres,schools,pre-schools,hospitals,libraries_museums,park_gardens,sport_centers,avg_occupation,mort_rate,rent_price,num_crimes
Ciutat Vella,25346.75,809.25,3152.75,28.75,5.0,9.0,7.5,15.5,2.0,17.75,3.5,2.0,2.45,1002.95,4.81,44241.0
Eixample,44402.67,800.33,3174.5,15.0,9.6,3.2,12.8,15.0,2.4,6.6,9.0,1.25,2.38,794.48,4.8,46210.0
Gràcia,24269.4,622.2,1450.8,15.5,5.4,9.5,9.6,8.2,3.75,2.5,2.2,2.6,2.34,805.1,3.98,7731.0
Horta-Guinardó,15341.0,559.18,709.0,2.5,7.2,3.0,7.4,7.33,2.4,3.0,3.55,1.71,2.43,871.53,2.92,7871.0
Les Corts,27344.33,528.67,1458.33,4.33,8.67,3.0,12.33,37.33,3.5,8.33,10.67,2.0,2.6,677.3,5.17,7444.0
Nou Barris,12813.77,669.46,636.46,,5.31,1.0,4.92,4.23,1.0,1.17,1.86,1.33,2.59,885.38,2.29,8627.0
Sant Andreu,21084.86,762.86,905.0,1.75,7.86,2.33,8.57,6.71,2.25,1.8,2.4,1.5,2.59,819.19,2.83,10657.0
Sant Martí,23551.3,877.2,1272.0,5.67,9.6,2.57,8.8,8.9,1.22,2.0,3.44,1.83,2.54,777.4,3.85,22417.0
Sants-Montjuïc,22738.75,757.5,1460.38,10.0,5.0,2.75,8.0,7.71,2.75,1.8,3.5,1.75,2.48,827.7,3.41,20219.0
Sarrià-Sant Gervasi,24879.83,345.17,1204.5,7.75,7.17,2.5,11.83,14.33,4.67,3.67,6.67,1.5,2.77,821.88,5.27,9252.0
