,Nbh,Children_places
0,Baró de Viver,4
1,Can Baró,3
2,Can Peguera,2
3,Canyelles,2
4,Ciutat Meridiana,7
5,Diagonal Mar i el Front Marítim del Poblenou,5
6,Horta,9
7,Hostafrancs,1
8,Montbau,4
9,Navas,3
10,Pedralbes,7
11,Porta,14
12,Provençals del Poblenou,10
13,Sant Andreu,22
14,Sant Antoni,8
15,Sant Genís dels Agudells,9
16,Sant Gervasi - Galvany,7
17,Sant Gervasi - la Bonanova,7
18,Sant Martí de Provençals,11
19,"Sant Pere, Santa Caterina i la Ribera",5
20,Sants,7
21,Sants - Badal,1
22,Sarrià,13
23,Torre Baró,1
24,Vallbona,2
25,Vallcarca i els Penitents,8
26,"Vallvidrera, el Tibidabo i les Planes",5
27,Verdun,4
28,Vilapicina i la Torre Llobeta,6
29,el Baix Guinardó,4
30,el Barri Gòtic,3
31,el Besòs i el Maresme,19
32,el Bon Pastor,8
33,el Camp d'en Grassot i Gràcia Nova,4
34,el Camp de l'Arpa del Clot,7
35,el Carmel,12
36,el Clot,10
37,el Coll,3
38,el Congrés i els Indians,8
39,el Fort Pienc,5
40,el Guinardó,15
41,el Parc i la Llacuna del Poblenou,4
42,el Poble-sec,10
43,el Poblenou,9
44,el Putxet i el Farró,6
45,el Raval,8
46,el Turó de la Peira,5
47,l'Antiga Esquerra de l'Eixample,9
48,la Barceloneta,4
49,la Bordeta,7
50,la Dreta de Eixample,9
51,la Font d'en Fargues,1
52,la Font de la Guatlla,1
53,la Guineueta,9
54,la Marina de Port,15
55,la Marina del Prat Vermell,3
56,la Maternitat i Sant Ramon,7
57,la Nova Esquerra de l'Eixample,14
58,la Prosperitat,7
59,la Sagrada Família,12
60,la Sagrera,6
61,la Salut,3
62,la Teixonera,6
63,la Trinitat Nova,4
64,la Trinitat Vella,4
65,la Vall d'Hebron,9
66,la Verneda i la Pau,17
67,la Vila Olímpica del Poblenou,4
68,la Vila de Gràcia,9
69,les Corts,12
70,les Roquetes,6
71,les Tres Torres,5
