,Nbh,Cinemas_Theatres
0,Ciutat Meridiana,1
1,Horta,3
2,Hostafrancs,3
3,Porta,1
4,Sant Andreu,5
5,Sant Antoni,4
6,Sant Gervasi - Galvany,7
7,Sant Gervasi - la Bonanova,2
8,Sant Martí de Provençals,1
9,"Sant Pere, Santa Caterina i la Ribera",11
10,Sants,4
11,Sarrià,1
12,"Vallvidrera, el Tibidabo i les Planes",1
13,el Barri Gòtic,5
14,el Besòs i el Maresme,1
15,el Camp d'en Grassot i Gràcia Nova,1
16,el Camp de l'Arpa del Clot,4
17,el Clot,2
18,el Congrés i els Indians,1
19,el Fort Pienc,3
20,el Parc i la Llacuna del Poblenou,3
21,el Poble-sec,13
22,el Poblenou,4
23,el Putxet i el Farró,2
24,el Raval,19
25,l'Antiga Esquerra de l'Eixample,5
26,la Barceloneta,1
27,la Bordeta,3
28,la Dreta de Eixample,12
29,la Marina de Port,1
30,la Maternitat i Sant Ramon,5
31,la Nova Esquerra de l'Eixample,2
32,la Sagrada Família,2
33,la Sagrera,1
34,la Trinitat Nova,1
35,la Vila Olímpica del Poblenou,3
36,la Vila de Gràcia,18
37,les Corts,1
38,les Tres Torres,2
