,dist,%immi_total_immi,%immi_total_dist,mort_rate,facilities_rate,crime_rate
0,Ciutat Vella,16.25,9.93,1002.95,0.37,272.956282942654
1,Eixample,20.15,4.69,794.48,0.36,285.104537302051
2,Sant Martí,12.9,3.39,777.4,0.23,138.3074748474373
3,Sants-Montjuïc,12.04,4.1,827.7,0.19,124.74634580632264
4,Gràcia,6.95,3.55,805.1,0.25,47.69840246444831
5,Horta-Guinardó,7.33,2.69,871.53,0.21,48.562168645411035
6,Les Corts,3.9,2.95,677.3,0.52,45.92768179347474
7,Nou Barris,8.49,3.16,885.38,0.12,53.22650602260969
8,Sant Andreu,5.84,2.45,819.19,0.2,65.75111564656909
9,Sarrià-Sant Gervasi,6.13,2.55,821.88,0.31,57.08260504476469
