dist,population,net_density(hab/ha),num_immi,avg_occupation,mort_rate,rent_price,num_crimes,facilities_rate,crime_rate
Ciutat Vella,101387,809.25,3152.75,2.45,1002.95,4.81,44241.0,0.37,272.95628294265396
Eixample,266416,800.33,3174.5,2.38,794.48,4.8,46210.0,0.36,285.104537302051
Gràcia,121347,622.2,1450.8,2.34,805.1,3.98,7731.0,0.25,47.69840246444831
Horta-Guinardó,168751,559.18,709.0,2.43,871.53,2.92,7871.0,0.21,48.56216864541103
Les Corts,82033,528.67,1458.33,2.6,677.3,5.17,7444.0,0.52,45.92768179347474
Nou Barris,166579,669.46,636.46,2.59,885.38,2.29,8627.0,0.12,53.22650602260969
Sant Andreu,147594,762.86,905.0,2.59,819.19,2.83,10657.0,0.2,65.75111564656909
Sant Martí,235513,877.2,1272.0,2.54,777.4,3.85,22417.0,0.23,138.3074748474373
Sants-Montjuïc,181910,757.5,1460.38,2.48,827.7,3.41,20219.0,0.19,124.74634580632265
Sarrià-Sant Gervasi,149279,345.17,1204.5,2.77,821.88,5.27,9252.0,0.31,57.082605044764684
