,Nbh,Schools
0,Baró de Viver,5
1,Can Baró,4
2,Canyelles,3
3,Ciutat Meridiana,7
4,Diagonal Mar i el Front Marítim del Poblenou,7
5,Horta,18
6,Hostafrancs,10
7,Montbau,7
8,Navas,8
9,Pedralbes,16
10,Porta,11
11,Provençals del Poblenou,12
12,Sant Andreu,30
13,Sant Antoni,14
14,Sant Genís dels Agudells,7
15,Sant Gervasi - Galvany,22
16,Sant Gervasi - la Bonanova,46
17,Sant Martí de Provençals,19
18,"Sant Pere, Santa Caterina i la Ribera",12
19,Sants,29
20,Sants - Badal,5
21,Sarrià,46
22,Torre Baró,1
23,Vallbona,2
24,Vallcarca i els Penitents,21
25,"Vallvidrera, el Tibidabo i les Planes",7
26,Verdun,16
27,Vilapicina i la Torre Llobeta,14
28,el Baix Guinardó,25
29,el Barri Gòtic,9
30,el Besòs i el Maresme,10
31,el Bon Pastor,6
32,el Camp d'en Grassot i Gràcia Nova,14
33,el Camp de l'Arpa del Clot,21
34,el Carmel,16
35,el Clot,14
36,el Coll,2
37,el Congrés i els Indians,18
38,el Fort Pienc,14
39,el Guinardó,18
40,el Parc i la Llacuna del Poblenou,3
41,el Poble-sec,23
42,el Poblenou,22
43,el Putxet i el Farró,11
44,el Raval,18
45,el Turó de la Peira,5
46,l'Antiga Esquerra de l'Eixample,22
47,la Barceloneta,6
48,la Bordeta,11
49,la Dreta de Eixample,45
50,la Font d'en Fargues,21
51,la Font de la Guatlla,8
52,la Guineueta,10
53,la Marina de Port,22
54,la Marina del Prat Vermell,2
55,la Maternitat i Sant Ramon,9
56,la Nova Esquerra de l'Eixample,21
57,la Prosperitat,16
58,la Sagrada Família,14
59,la Sagrera,16
60,la Salut,19
61,la Teixonera,2
62,la Trinitat Nova,3
63,la Trinitat Vella,6
64,la Vall d'Hebron,4
65,la Verneda i la Pau,11
66,la Vila Olímpica del Poblenou,8
67,la Vila de Gràcia,35
68,les Corts,35
69,les Roquetes,7
70,les Tres Torres,3
