,Nbh,Pre-Schools
0,Baró de Viver,4
1,Can Baró,2
2,Can Peguera,4
3,Canyelles,1
4,Ciutat Meridiana,6
5,Diagonal Mar i el Front Marítim del Poblenou,8
6,Horta,17
7,Hostafrancs,14
8,Montbau,29
9,Navas,6
10,Pedralbes,113
11,Porta,19
12,Provençals del Poblenou,13
13,Sant Andreu,26
14,Sant Antoni,21
15,Sant Genís dels Agudells,7
16,Sant Gervasi - Galvany,34
17,Sant Gervasi - la Bonanova,84
18,Sant Martí de Provençals,17
19,"Sant Pere, Santa Caterina i la Ribera",34
20,Sants,29
21,Sants - Badal,10
22,Sarrià,56
23,Torre Baró,2
24,Vallbona,2
25,Vallcarca i els Penitents,20
26,"Vallvidrera, el Tibidabo i les Planes",7
27,Verdun,16
28,Vilapicina i la Torre Llobeta,19
29,el Baix Guinardó,24
30,el Barri Gòtic,25
31,el Besòs i el Maresme,14
32,el Bon Pastor,8
33,el Camp d'en Grassot i Gràcia Nova,13
34,el Camp de l'Arpa del Clot,19
35,el Carmel,13
36,el Clot,10
37,el Coll,2
38,el Congrés i els Indians,12
39,el Fort Pienc,12
40,el Guinardó,28
41,el Parc i la Llacuna del Poblenou,21
42,el Poble-sec,27
43,el Poblenou,24
44,el Putxet i el Farró,13
45,el Raval,52
46,el Turó de la Peira,5
47,l'Antiga Esquerra de l'Eixample,69
48,la Barceloneta,43
49,la Bordeta,12
50,la Dreta de Eixample,85
51,la Font d'en Fargues,21
52,la Font de la Guatlla,10
53,la Guineueta,12
54,la Marina de Port,20
55,la Marina del Prat Vermell,5
56,la Maternitat i Sant Ramon,155
57,la Nova Esquerra de l'Eixample,41
58,la Prosperitat,18
59,la Sagrada Família,11
60,la Sagrera,19
61,la Salut,21
62,la Trinitat Nova,2
63,la Trinitat Vella,9
64,la Vall d'Hebron,9
65,la Verneda i la Pau,10
66,la Vila Olímpica del Poblenou,33
67,la Vila de Gràcia,34
68,les Corts,30
69,les Roquetes,5
70,les Tres Torres,6
