,Nbh,Hospitals
0,Diagonal Mar i el Front Marítim del Poblenou,3
1,Horta,6
2,Montbau,13
3,Provençals del Poblenou,1
4,Sant Andreu,13
5,Sant Antoni,6
6,Sant Gervasi - Galvany,22
7,Sant Gervasi - la Bonanova,12
8,Sant Martí de Provençals,4
9,"Sant Pere, Santa Caterina i la Ribera",6
10,Sants,14
11,Sants - Badal,2
12,Sarrià,15
13,Torre Baró,6
14,Vallcarca i els Penitents,14
15,"Vallvidrera, el Tibidabo i les Planes",2
16,Verdun,2
17,Vilapicina i la Torre Llobeta,5
18,el Baix Guinardó,4
19,el Barri Gòtic,3
20,el Besòs i el Maresme,8
21,el Bon Pastor,3
22,el Camp d'en Grassot i Gràcia Nova,5
23,el Camp de l'Arpa del Clot,9
24,el Carmel,10
25,el Clot,5
26,el Fort Pienc,7
27,el Guinardó,11
28,el Poble-sec,4
29,el Poblenou,6
30,el Putxet i el Farró,4
31,el Raval,12
32,el Turó de la Peira,4
33,l'Antiga Esquerra de l'Eixample,12
34,la Barceloneta,13
35,la Bordeta,3
36,la Dreta de Eixample,7
37,la Guineueta,6
38,la Marina de Port,13
39,la Maternitat i Sant Ramon,10
40,la Nova Esquerra de l'Eixample,7
41,la Prosperitat,6
42,la Sagrada Família,9
43,la Sagrera,4
44,la Salut,19
45,la Trinitat Nova,4
46,la Trinitat Vella,4
47,la Verneda i la Pau,3
48,la Vila Olímpica del Poblenou,4
49,la Vila de Gràcia,6
50,les Corts,9
51,les Roquetes,6
52,les Tres Torres,13
