nationality,dist,num_immi
Afghanistan,Ciutat Vella,10
Afghanistan,Eixample,2
Afghanistan,Gràcia,0
Afghanistan,Horta-Guinardó,2
Afghanistan,Les Corts,0
Afghanistan,No consta,0
Afghanistan,Nou Barris,1
Afghanistan,Sant Andreu,2
Afghanistan,Sant Martí,2
Afghanistan,Sants-Montjuïc,2
Afghanistan,Sarrià-Sant Gervasi,0
Albania,Ciutat Vella,9
Albania,Eixample,18
Albania,Gràcia,8
Albania,Horta-Guinardó,11
Albania,Les Corts,2
Albania,No consta,0
Albania,Nou Barris,6
Albania,Sant Andreu,6
Albania,Sant Martí,16
Albania,Sants-Montjuïc,18
Albania,Sarrià-Sant Gervasi,4
Algeria,Ciutat Vella,75
Algeria,Eixample,30
Algeria,Gràcia,19
Algeria,Horta-Guinardó,8
Algeria,Les Corts,16
Algeria,No consta,0
Algeria,Nou Barris,19
Algeria,Sant Andreu,9
Algeria,Sant Martí,35
Algeria,Sants-Montjuïc,42
Algeria,Sarrià-Sant Gervasi,12
Andorra,Ciutat Vella,1
Andorra,Eixample,10
Andorra,Gràcia,2
Andorra,Horta-Guinardó,2
Andorra,Les Corts,9
Andorra,No consta,0
Andorra,Nou Barris,2
Andorra,Sant Andreu,3
Andorra,Sant Martí,1
Andorra,Sants-Montjuïc,6
Andorra,Sarrià-Sant Gervasi,15
Angola,Ciutat Vella,1
Angola,Eixample,6
Angola,Gràcia,3
Angola,Horta-Guinardó,3
Angola,Les Corts,0
Angola,No consta,0
Angola,Nou Barris,1
Angola,Sant Andreu,0
Angola,Sant Martí,3
Angola,Sants-Montjuïc,1
Angola,Sarrià-Sant Gervasi,1
Antigua and Barbuda,Ciutat Vella,0
Antigua and Barbuda,Eixample,0
Antigua and Barbuda,Gràcia,0
Antigua and Barbuda,Horta-Guinardó,0
Antigua and Barbuda,Les Corts,0
Antigua and Barbuda,No consta,0
Antigua and Barbuda,Nou Barris,0
Antigua and Barbuda,Sant Andreu,0
Antigua and Barbuda,Sant Martí,1
Antigua and Barbuda,Sants-Montjuïc,0
Antigua and Barbuda,Sarrià-Sant Gervasi,0
Argentina,Ciutat Vella,319
Argentina,Eixample,517
Argentina,Gràcia,166
Argentina,Horta-Guinardó,120
Argentina,Les Corts,59
Argentina,No consta,0
Argentina,Nou Barris,60
Argentina,Sant Andreu,106
