,Nbh,Dist,num_immi
0,Baró de Viver,Sant Andreu,44
1,Can Baró,Horta-Guinardó,245
2,Can Peguera,Nou Barris,24
3,Canyelles,Nou Barris,40
4,Ciutat Meridiana,Nou Barris,614
5,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,523
6,Horta,Horta-Guinardó,664
7,Hostafrancs,Sants-Montjuïc,749
8,Montbau,Horta-Guinardó,138
9,Navas,Sant Andreu,597
10,No consta,No consta,0
11,Pedralbes,Les Corts,466
12,Porta,Nou Barris,897
13,Provençals del Poblenou,Sant Martí,533
14,Sant Andreu,Sant Andreu,923
15,Sant Antoni,Eixample,1607
16,Sant Genís dels Agudells,Horta-Guinardó,234
17,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,1288
18,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,594
19,Sant Martí de Provençals,Sant Martí,611
20,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,2228
21,Sants,Sants-Montjuïc,1756
22,Sants - Badal,Sants-Montjuïc,871
23,Sarrià,Sarrià-Sant Gervasi,667
24,Torre Baró,Nou Barris,59
25,Vallbona,Nou Barris,33
26,Vallcarca i els Penitents,Gràcia,425
27,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,96
28,Verdun,Nou Barris,459
29,Vilapicina i la Torre Llobeta,Nou Barris,625
30,el Baix Guinardó,Horta-Guinardó,759
31,el Barri Gòtic,Ciutat Vella,2205
32,el Besòs i el Maresme,Sant Martí,1478
33,el Bon Pastor,Sant Andreu,418
34,el Camp d'en Grassot i Gràcia Nova,Gràcia,1063
35,el Camp de l'Arpa del Clot,Sant Martí,1343
36,el Carmel,Horta-Guinardó,890
37,el Clot,Sant Martí,792
38,el Coll,Gràcia,201
39,el Congrés i els Indians,Sant Andreu,360
40,el Fort Pienc,Eixample,1574
41,el Guinardó,Horta-Guinardó,1055
42,el Parc i la Llacuna del Poblenou,Sant Martí,657
43,el Poble Sec,Sants-Montjuïc,2261
44,el Poblenou,Sant Martí,1099
45,el Putxet i el Farró,Sarrià-Sant Gervasi,818
46,el Raval,Ciutat Vella,4291
47,el Turó de la Peira,Nou Barris,564
48,l'Antiga Esquerra de l'Eixample,Eixample,2290
49,la Barceloneta,Ciutat Vella,1345
50,la Bordeta,Sants-Montjuïc,511
51,la Clota,Horta-Guinardó,23
52,la Dreta de l'Eixample,Eixample,2137
53,la Font d'en Fargues,Horta-Guinardó,126
54,la Font de la Guatlla,Sants-Montjuïc,382
55,la Guineueta,Nou Barris,228
56,la Marina de Port,Sants-Montjuïc,925
57,la Marina del Prat Vermell,Sants-Montjuïc,9
58,la Maternitat i Sant Ramon,Les Corts,705
59,la Nova Esquerra de l'Eixample,Eixample,2469
60,la Prosperitat,Nou Barris,765
61,la Sagrada Família,Eixample,2410
62,la Sagrera,Sant Andreu,779
63,la Salut,Gràcia,449
64,la Teixonera,Horta-Guinardó,309
65,la Trinitat Nova,Nou Barris,320
66,la Trinitat Vella,Sant Andreu,501
67,la Vall d'Hebron,Horta-Guinardó,101
68,la Verneda i la Pau,Sant Martí,726
69,la Vila Olímpica del Poblenou,Sant Martí,232
70,la Vila de Gràcia,Gràcia,2172
71,les Corts,Les Corts,1249
72,les Roquetes,Nou Barris,633
73,les Tres Torres,Sarrià-Sant Gervasi,339
