,Nbh,Dist,num_immi
0,Baró de Viver,Sant Andreu,92
1,Can Baró,Horta-Guinardó,473
2,Can Peguera,Nou Barris,57
3,Canyelles,Nou Barris,140
4,Ciutat Meridiana,Nou Barris,838
5,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,780
6,Horta,Horta-Guinardó,1127
7,Hostafrancs,Sants-Montjuïc,1159
8,Montbau,Horta-Guinardó,256
9,Navas,Sant Andreu,988
10,No consta,No consta,2
11,Pedralbes,Les Corts,764
12,Porta,Nou Barris,1398
13,Provençals del Poblenou,Sant Martí,974
14,Sant Andreu,Sant Andreu,1965
15,Sant Antoni,Eixample,2490
16,Sant Genís dels Agudells,Horta-Guinardó,386
17,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,2434
18,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,1181
19,Sant Martí de Provençals,Sant Martí,1073
20,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,2765
21,Sants,Sants-Montjuïc,2839
22,Sants - Badal,Sants-Montjuïc,1476
23,Sarrià,Sarrià-Sant Gervasi,1208
24,Torre Baró,Nou Barris,95
25,Vallbona,Nou Barris,69
26,Vallcarca i els Penitents,Gràcia,772
27,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,187
28,Verdun,Nou Barris,666
29,Vilapicina i la Torre Llobeta,Nou Barris,1056
30,el Baix Guinardó,Horta-Guinardó,1285
31,el Barri Gòtic,Ciutat Vella,2687
32,el Besòs i el Maresme,Sant Martí,2016
33,el Bon Pastor,Sant Andreu,658
34,el Camp d'en Grassot i Gràcia Nova,Gràcia,1791
35,el Camp de l'Arpa del Clot,Sant Martí,2201
36,el Carmel,Horta-Guinardó,1414
37,el Clot,Sant Martí,1302
38,el Coll,Gràcia,372
39,el Congrés i els Indians,Sant Andreu,603
40,el Fort Pienc,Eixample,2237
41,el Guinardó,Horta-Guinardó,1837
42,el Parc i la Llacuna del Poblenou,Sant Martí,959
43,el Poble Sec,Sants-Montjuïc,3087
44,el Poblenou,Sant Martí,1765
45,el Putxet i el Farró,Sarrià-Sant Gervasi,1515
46,el Raval,Ciutat Vella,5400
47,el Turó de la Peira,Nou Barris,878
48,l'Antiga Esquerra de l'Eixample,Eixample,3467
49,la Barceloneta,Ciutat Vella,1759
50,la Bordeta,Sants-Montjuïc,945
51,la Clota,Horta-Guinardó,39
52,la Dreta de l'Eixample,Eixample,3200
53,la Font d'en Fargues,Horta-Guinardó,283
54,la Font de la Guatlla,Sants-Montjuïc,646
55,la Guineueta,Nou Barris,493
56,la Marina de Port,Sants-Montjuïc,1499
57,la Marina del Prat Vermell,Sants-Montjuïc,32
58,la Maternitat i Sant Ramon,Les Corts,1335
59,la Nova Esquerra de l'Eixample,Eixample,4062
60,la Prosperitat,Nou Barris,1206
61,la Sagrada Família,Eixample,3591
62,la Sagrera,Sant Andreu,1354
63,la Salut,Gràcia,732
64,la Teixonera,Horta-Guinardó,512
65,la Trinitat Nova,Nou Barris,458
66,la Trinitat Vella,Sant Andreu,675
67,la Vall d'Hebron,Horta-Guinardó,187
68,la Verneda i la Pau,Sant Martí,1240
69,la Vila Olímpica del Poblenou,Sant Martí,410
70,la Vila de Gràcia,Gràcia,3587
71,les Corts,Les Corts,2276
72,les Roquetes,Nou Barris,920
73,les Tres Torres,Sarrià-Sant Gervasi,702
