Dist,Nbh,mort_rate
Ciutat Vella,el Raval,"1.005,4"
Ciutat Vella,el Barri Gòtic,"1.004,5"
Ciutat Vella,la Barceloneta,"1.090,5"
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","911,4"
Eixample,el Fort Pienc,"807,6"
Eixample,la Sagrada Família,"785,9"
Eixample,la Dreta de l'Eixample,"897,2"
Eixample,l'Antiga Esquerra de l'Eixample,"802,8"
Eixample,la Nova Esquerra de l'Eixample,"736,1"
Eixample,Sant Antoni,"737,3"
Sants-Montjuïc,el Poble Sec - Parc Montjuïc,"883,9"
Sants-Montjuïc,la Marina del Prat Vermell - Zona Franca,"1.139,9"
Sants-Montjuïc,la Marina de Port,"815,1"
Sants-Montjuïc,la Font de la Guatlla,"1.049,1"
Sants-Montjuïc,Hostafrancs,"831,3"
Sants-Montjuïc,la Bordeta,"759,1"
Sants-Montjuïc,Sants - Badal,"729,5"
Sants-Montjuïc,Sants,"782,1"
Les Corts,les Corts,"720,4"
Les Corts,la Maternitat i Sant Ramon,"649,9"
Les Corts,Pedralbes,"661,6"
Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes","1.251,1"
Sarrià-Sant Gervasi,Sarrià,"758,7"
Sarrià-Sant Gervasi,les Tres Torres,"708,5"
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,"775,5"
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,"716,1"
Sarrià-Sant Gervasi,el Putxet i el Farró,"721,4"
Gràcia,Vallcarca i els Penitents,"777,2"
Gràcia,el Coll,"743,4"
Gràcia,la Salut,"869,3"
Gràcia,la Vila de Gràcia,"814,0"
Gràcia,el Camp d'en Grassot i Gràcia Nova,"821,6"
Horta-Guinardó,el Baix Guinardó,"836,6"
Horta-Guinardó,Can Baró,"861,0"
Horta-Guinardó,el Guinardó,"733,8"
Horta-Guinardó,la Font d'en Fargues,"826,5"
Horta-Guinardó,el Carmel,"794,2"
Horta-Guinardó,la Teixonera,"858,5"
Horta-Guinardó,Sant Genís dels Agudells,"929,9"
Horta-Guinardó,Montbau,"1.052,9"
Horta-Guinardó,la Vall d'Hebron,"854,0"
Horta-Guinardó,la Clota,"1.033,9"
Horta-Guinardó,Horta,"805,5"
Nou Barris,Vilapicina i la Torre Llobeta,"795,4"
Nou Barris,Porta,"758,1"
Nou Barris,el Turó de la Peira,"729,4"
Nou Barris,Can Peguera,"968,0"
Nou Barris,la Guineueta,"735,9"
Nou Barris,Canyelles,"804,9"
Nou Barris,les Roquetes,"869,4"
Nou Barris,Verdun,"776,7"
Nou Barris,la Prosperitat,"754,2"
Nou Barris,la Trinitat Nova,"1.099,0"
Nou Barris,Torre Baró,"945,9"
Nou Barris,Ciutat Meridiana,"793,9"
Nou Barris,Vallbona,"1.479,2"
Sant Andreu,la Trinitat Vella,"756,9"
Sant Andreu,Baró de Viver,"1.067,6"
Sant Andreu,el Bon Pastor,"959,9"
Sant Andreu,Sant Andreu,"763,0"
Sant Andreu,la Sagrera,"742,4"
Sant Andreu,el Congrés i els Indians,"748,5"
Sant Andreu,Navas,"696,0"
Sant Martí,el Camp de l'Arpa del Clot,"758,0"
Sant Martí,el Clot,"757,7"
Sant Martí,el Parc i la Llacuna del Poblenou,"868,2"
Sant Martí,la Vila Olímpica del Poblenou,"641,5"
Sant Martí,el Poblenou,"864,1"
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,"731,7"
Sant Martí,el Besòs i el Maresme,"803,2"
Sant Martí,Provençals del Poblenou,"774,7"
Sant Martí,Sant Martí de Provençals,"761,1"
Sant Martí,la Verneda i la Pau,"813,8"
