,Nbh,Park_Gardens
0,Baró de Viver,2
1,Can Baró,1
2,Canyelles,1
3,Diagonal Mar i el Front Marítim del Poblenou,2
4,Horta,3
5,Hostafrancs,1
6,Montbau,4
7,Pedralbes,9
8,Porta,4
9,Provençals del Poblenou,2
10,Sant Andreu,5
11,Sant Antoni,7
12,Sant Genís dels Agudells,3
13,Sant Gervasi - Galvany,9
14,Sant Gervasi - la Bonanova,7
15,Sant Martí de Provençals,2
16,"Sant Pere, Santa Caterina i la Ribera",2
17,Sants,6
18,Sarrià,11
19,Vallcarca i els Penitents,3
20,"Vallvidrera, el Tibidabo i les Planes",3
21,Vilapicina i la Torre Llobeta,1
22,el Baix Guinardó,3
23,el Barri Gòtic,2
24,el Besòs i el Maresme,4
25,el Bon Pastor,1
26,el Camp d'en Grassot i Gràcia Nova,3
27,el Camp de l'Arpa del Clot,1
28,el Carmel,4
29,el Clot,4
30,el Coll,1
31,el Congrés i els Indians,2
32,el Fort Pienc,8
33,el Guinardó,10
34,el Parc i la Llacuna del Poblenou,3
35,el Poble-sec,24
36,el Poblenou,7
37,el Putxet i el Farró,7
38,el Raval,8
39,el Turó de la Peira,2
40,l'Antiga Esquerra de l'Eixample,10
41,la Barceloneta,2
42,la Bordeta,2
43,la Clota,2
44,la Dreta de Eixample,13
45,la Font d'en Fargues,1
46,la Font de la Guatlla,1
47,la Guineueta,2
48,la Marina de Port,10
49,la Marina del Prat Vermell,1
50,la Maternitat i Sant Ramon,11
51,la Nova Esquerra de l'Eixample,11
52,la Prosperitat,1
53,la Sagrada Família,9
54,la Sagrera,2
55,la Salut,2
56,la Teixonera,1
57,la Vall d'Hebron,7
58,la Vila Olímpica del Poblenou,6
59,la Vila de Gràcia,2
60,les Corts,12
61,les Roquetes,2
62,les Tres Torres,3
