,Nbh,Sport_Centers
0,Canyelles,5
1,Ciutat Meridiana,4
2,Horta,7
3,Hostafrancs,9
4,Montbau,3
5,Pedralbes,1
6,Porta,12
7,Sant Andreu,8
8,Sant Antoni,8
9,Sant Genís dels Agudells,1
10,Sant Gervasi - la Bonanova,1
11,Sant Martí de Provençals,12
12,"Sant Pere, Santa Caterina i la Ribera",2
13,Sants,1
14,Sarrià,14
15,Torre Baró,1
16,Vallcarca i els Penitents,2
17,"Vallvidrera, el Tibidabo i les Planes",1
18,Vilapicina i la Torre Llobeta,3
19,el Baix Guinardó,1
20,el Barri Gòtic,7
21,el Besòs i el Maresme,7
22,el Bon Pastor,4
23,el Camp d'en Grassot i Gràcia Nova,28
24,el Carmel,8
25,el Clot,3
26,el Coll,1
27,el Fort Pienc,9
28,el Guinardó,1
29,el Poble-sec,27
30,el Poblenou,13
31,el Putxet i el Farró,8
32,el Raval,4
33,el Turó de la Peira,1
34,la Barceloneta,10
35,la Bordeta,6
36,la Marina de Port,4
37,la Maternitat i Sant Ramon,1
38,la Nova Esquerra de l'Eixample,12
39,la Sagrada Família,6
40,la Sagrera,1
41,la Salut,12
42,la Trinitat Vella,6
43,la Vall d'Hebron,11
44,la Verneda i la Pau,3
45,la Vila Olímpica del Poblenou,10
46,la Vila de Gràcia,8
47,les Corts,11
