,Nom_Barri,Ocupacio_mitjana
0,el Raval,2.8
1,el Barri Gòtic,2.5
2,la Barceloneta,2.2
3,"Sant Pere, Santa Caterina i la Ribera",2.3
4,el Fort Pienc,2.5
5,la Sagrada Família,2.4
6,la Dreta de l'Eixample,2.4
7,l'Antiga Esquerra de l'Eixample,2.3
8,la Nova Esquerra de l'Eixample,2.4
9,Sant Antoni,2.3
10,el Poble Sec,2.5
11,la Marina del Prat Vermell,2.6
12,la Marina de Port,2.6
13,la Font de la Guatlla,2.4
14,Hostafrancs,2.4
15,la Bordeta,2.5
16,Sants - Badal,2.4
17,Sants,2.4
18,les Corts,2.4
19,la Maternitat i Sant Ramon,2.5
20,Pedralbes,2.9
21,"Vallvidrera, el Tibidabo i les Planes",3.0
22,Sarrià,2.8
23,les Tres Torres,3.0
24,Sant Gervasi - la Bonanova,2.8
25,Sant Gervasi - Galvany,2.6
26,el Putxet i el Farró,2.4
27,Vallcarca i els Penitents,2.4
28,el Coll,2.4
29,la Salut,2.4
30,la Vila de Gràcia,2.2
31,el Camp d'en Grassot i Gràcia Nova,2.3
32,el Baix Guinardó,2.4
33,Can Baró,2.4
34,el Guinardó,2.4
35,la Font d'en Fargues,2.5
36,el Carmel,2.5
37,la Teixonera,2.4
38,Sant Genís dels Agudells,2.4
39,Montbau,2.4
40,la Vall d'Hebron,2.5
41,la Clota,2.3
42,Horta,2.5
43,Vilapicina i la Torre Llobeta,2.4
44,Porta,2.5
45,el Turó de la Peira,2.5
46,Can Peguera,2.4
47,la Guineueta,2.5
48,Canyelles,2.5
49,les Roquetes,2.7
50,Verdun,2.4
51,la Prosperitat,2.5
52,la Trinitat Nova,2.5
53,Torre Baró,3.0
54,Ciutat Meridiana,2.9
55,Vallbona,2.9
56,la Trinitat Vella,2.9
57,Baró de Viver,2.6
58,el Bon Pastor,2.8
59,Sant Andreu,2.4
60,la Sagrera,2.5
61,el Congrés i els Indians,2.4
62,Navas,2.5
63,el Camp de l'Arpa del Clot,2.4
64,el Clot,2.5
65,el Parc i la Llacuna del Poblenou,2.5
66,la Vila Olímpica del Poblenou,2.7
67,el Poblenou,2.5
68,Diagonal Mar i el Front Marítim del Poblenou,2.5
69,el Besòs i el Maresme,2.8
70,Provençals del Poblenou,2.5
71,Sant Martí de Provençals,2.5
72,la Verneda i la Pau,2.5
