,Numero_expedient,Nom_districte,Nom_barri,Codi_carrer,Dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Type_day,Date
0,2019S000001    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,144601,Dm,2019,1,Gener,1,1,Nit,0,0,1,1,1,Weekend/Holiday,1/1/2019
1,2019S000002    ,Sant Andreu,el Congrés i els Indians,102907,Dm,2019,1,Gener,1,4,Nit,0,1,0,1,2,Weekend/Holiday,1/1/2019
2,2019S000003    ,Sant Martí,el Parc i la Llacuna del Poblenou,242906,Dm,2019,1,Gener,1,5,Nit,0,1,0,1,1,Weekend/Holiday,1/1/2019
3,2019S000004    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,228803,Dm,2019,1,Gener,1,8,Matí,0,1,0,1,2,Weekend/Holiday,1/1/2019
4,2019S000005    ,Eixample,la Dreta de l'Eixample,89004,Dm,2019,1,Gener,1,12,Matí,0,2,0,2,1,Weekend/Holiday,1/1/2019
5,2019S000006    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,90502,Dm,2019,1,Gener,1,7,Matí,0,1,0,1,2,Weekend/Holiday,1/1/2019
6,2019S000007    ,Eixample,la Dreta de l'Eixample,18505,Dm,2019,1,Gener,1,13,Matí,0,1,0,1,6,Weekend/Holiday,1/1/2019
7,2019S000008    ,Eixample,la Dreta de l'Eixample,222002,Dm,2019,1,Gener,1,13,Matí,0,1,0,1,2,Weekend/Holiday,1/1/2019
8,2019S000009    ,Sant Martí,la Vila Olímpica del Poblenou,700661,Dm,2019,1,Gener,1,10,Matí,0,0,0,0,1,Weekend/Holiday,1/1/2019
9,2019S000010    ,Eixample,el Fort Pienc,9209,Dm,2019,1,Gener,1,18,Tarda,0,1,0,1,2,Weekend/Holiday,1/1/2019
10,2019S000011    ,Horta-Guinardó,la Font d'en Fargues,194406,Dm,2019,1,Gener,1,19,Tarda,0,1,0,1,2,Weekend/Holiday,1/1/2019
11,2019S000012    ,Eixample,l'Antiga Esquerra de l'Eixample,89004,Dm,2019,1,Gener,1,13,Matí,0,1,0,1,2,Weekend/Holiday,1/1/2019
12,2019S000013    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,30409,Dm,2019,1,Gener,1,21,Tarda,0,1,0,1,2,Weekend/Holiday,1/1/2019
13,2019S000014    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,223606,Dc,2019,1,Gener,2,0,Nit,0,1,0,1,2,Weekday,2/1/2019
14,2019S000015    ,Horta-Guinardó,Horta,97807,Dc,2019,1,Gener,2,3,Nit,0,0,0,0,3,Weekday,2/1/2019
15,2019S000016    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,143904,Dc,2019,1,Gener,2,7,Matí,0,1,0,1,3,Weekday,2/1/2019
16,2019S000017    ,Les Corts,la Maternitat i Sant Ramon,144601,Dc,2019,1,Gener,2,8,Matí,0,1,0,1,2,Weekday,2/1/2019
17,2019S000018    ,Les Corts,Pedralbes,144601,Dc,2019,1,Gener,2,9,Matí,0,3,0,3,2,Weekday,2/1/2019
18,2019S000019    ,Nou Barris,Porta,119003,Dc,2019,1,Gener,2,9,Matí,0,1,0,1,3,Weekday,2/1/2019
19,2019S000020    ,Sants-Montjuïc,la Bordeta,169409,Dc,2019,1,Gener,2,10,Matí,0,1,0,1,2,Weekday,2/1/2019
20,2019S000021    ,Sant Martí,la Verneda i la Pau,318906,Dc,2019,1,Gener,2,10,Matí,0,2,0,2,2,Weekday,2/1/2019
21,2019S000022    ,Nou Barris,Porta,256401,Dc,2019,1,Gener,2,10,Matí,0,1,0,1,1,Weekday,2/1/2019
22,2019S000023    ,Sants-Montjuïc,la Bordeta,244901,Dc,2019,1,Gener,2,8,Matí,0,1,0,1,2,Weekday,2/1/2019
23,2019S000024    ,Horta-Guinardó,el Baix Guinardó,332306,Dc,2019,1,Gener,2,10,Matí,0,2,0,2,2,Weekday,2/1/2019
24,2019S000025    ,Les Corts,les Corts,231502,Dc,2019,1,Gener,2,12,Matí,0,1,0,1,2,Weekday,2/1/2019
