id;streetName;streetNumber
1;Gran Via Corts Catalanes;760
2;Roger de Flor/ Gran Vi­a;126
3;Ni pols;82
4;Ribes;13
5;Pg Llui­s Companys;11
6;Pg Llui­s Companys;18
7;Pg Llui­s Companys;1
8;Pg Llui­s Companys;2
9;Marqui¨s de l'Argentera;13
11;Passeig Mari­tim;19
12;Pg Mari­tim Barceloneta;23
13;Avinguda Litoral;16
14;Avinguda del Marques Argentera;15
15;Girona;68
16;Av. Meridiana;47
17;Av. Meridiana;47
18;Rosselli³;453
19;Rosselli³;354
20;Cartagena;308
21;Sant Antoni Maria Claret;214
22;Sardenya;292
23;Bruc;45
24;Marina;199
25;Bruc;102
26;Dos Maig;230
27;Proveni§a;322
28;Sardenya;362
29;Proveni§a;388
30;Diagonal;231
31;Plai§a del Mar;72
32;Plai§a del Mar;1
33;Pontevedra;58B
34;Sant Pere Mi©s Alt;4
35;Sant Ramon de Penyafort;1
36;Catedral;6
37;Pl. Antonio Li³pez;NA
38;Pl. Pau Vila;NA
39;Pl. Pau Vila;NA
40;Doctor Aiguader;2
41;Pl. Poeta Bosci /Atli ntida;NA
42;Ciutat de Granada;168
43;Av Meridiana;80
44;Av Meridiana;66
45;Marina;66
46;Ramon trias Fargas;19
47;Ramon Trias Fargas;NA
48;Meridiana;40
49;Rosa Sensat en front;20
50;Av. Paral.lel;54
51;Pl. Viceni§ Martorell;NA
53;Pl. Carles Pi i Sunyer;NA
54;Sant Oleguer;2
55;La Rambla;80
56;Portal de Santa Madrona;2
57;La Rambla;2
58;Plai§a dels i€ngels;1
59;Plai§a dels i€ngels;2
60;Rambla Catalunya;47
61;Rambla Catalunya;42
62;Pl. Catalunya;5
63;Pl. Catalunya;7
64;Pl. Catalunya;NA
65;Pl. Catalunya;NA
66;Gran Via;609
67;Rocafort;214
68;Rambla Catalunya;133
69;Avda. Litoral;NA
70;Comte Urgell;23
71;Floridablanca;145
72;Proveni§a;215
73;Enric Granados;93
