Distritos,,TOTAL,%,Hombres,%,Mujeres,%
BARCELONA,,1.650.358,100,782.555,"47,4",867.803,"52,6"
1. Ciutat Vella,,105.820,100,56.107,53,49.713,47
2. Eixample,,269.095,100,125.612,"46,7",143.483,"53,3"
3. Sants-Montjuïc,,185.450,100,88.853,"47,9",96.597,"52,1"
4. Les Corts,,82.591,100,38.367,"46,5",44.224,"53,5"
5. Sarrià-Sant Gervasi,,150.446,100,69.045,"45,9",81.401,"54,1"
6. Gràcia,,122.853,100,56.404,"45,9",66.449,"54,1"
7. Horta-Guinardó,,172.473,100,80.937,"46,9",91.536,"53,1"
8. Nou Barris,,171.290,100,80.371,"46,9",90.919,"53,1"
9. Sant Andreu,,150.264,100,71.335,"47,5",78.929,"52,5"
10. Sant Martí,,240.076,100,115.524,"48,1",124.552,"51,9"
