,Nom_Barri,Població,Densitat neta (hab/ha)
0,el Raval,47608,959
1,el Barri Gòtic,16062,471
2,la Barceloneta,14996,1107
3,"Sant Pere, Santa Caterina i la Ribera",22721,700
4,el Fort Pienc,32016,959
5,la Sagrada Família,51539,1006
6,la Dreta de l'Eixample,44052,387
7,l'Antiga Esquerra de l'Eixample,42284,631
8,la Nova Esquerra de l'Eixample,58180,891
9,Sant Antoni,38345,928
10,el Poble Sec,40228,1043
11,la Marina del Prat Vermell,1149,32
12,la Marina de Port,30584,777
13,la Font de la Guatlla,10401,912
14,Hostafrancs,15904,710
15,la Bordeta,18530,891
16,Sants - Badal,23987,955
17,Sants,41127,740
18,les Corts,46009,705
19,la Maternitat i Sant Ramon,23948,734
20,Pedralbes,12076,147
21,"Vallvidrera, el Tibidabo i les Planes",4670,52
22,Sarrià,25032,260
23,les Tres Torres,16667,391
24,Sant Gervasi - la Bonanova,25774,314
25,Sant Gervasi - Galvany,47666,499
26,el Putxet i el Farró,29470,555
27,Vallcarca i els Penitents,15759,335
28,el Coll,7412,598
29,la Salut,13185,680
30,la Vila de Gràcia,50662,607
31,el Camp d'en Grassot i Gràcia Nova,34329,891
32,el Baix Guinardó,25672,1082
33,Can Baró,8994,627
34,el Guinardó,36467,699
35,la Font d'en Fargues,9383,238
36,el Carmel,31551,802
37,la Teixonera,11619,630
38,Sant Genís dels Agudells,6854,379
39,Montbau,5102,448
40,la Vall d'Hebron,5784,724
41,la Clota,610,100
42,Horta,26715,422
43,Vilapicina i la Torre Llobeta,25591,870
44,Porta,25000,710
45,el Turó de la Peira,15467,1152
46,Can Peguera,2271,375
47,la Guineueta,15231,691
48,Canyelles,6856,618
49,les Roquetes,15590,856
50,Verdun,12353,867
51,la Prosperitat,26389,965
52,la Trinitat Nova,7261,578
53,Torre Baró,2856,135
54,Ciutat Meridiana,10342,683
55,Vallbona,1372,203
56,la Trinitat Vella,9983,786
57,Baró de Viver,2539,649
58,el Bon Pastor,12560,702
59,Sant Andreu,57183,746
60,la Sagrera,29084,736
61,el Congrés i els Indians,14116,737
62,Navas,22129,984
63,el Camp de l'Arpa del Clot,38168,888
64,el Clot,27039,1145
65,el Parc i la Llacuna del Poblenou,15134,758
66,la Vila Olímpica del Poblenou,9367,387
67,el Poblenou,33843,795
68,Diagonal Mar i el Front Marítim del Poblenou,13629,592
69,el Besòs i el Maresme,23009,885
70,Provençals del Poblenou,20487,1490
71,Sant Martí de Provençals,26146,1116
72,la Verneda i la Pau,28691,716
