Numero_expedient;Descripcio_causa_mediata
2018S009653    ;Alcohol̬mia
2018S000730    ;No hi ha causa mediata
2018S009722    ;Alcohol̬mia
2018S004776    ;No hi ha causa mediata
2018S007190    ;No hi ha causa mediata
2018S001254    ;No hi ha causa mediata
2018S000180    ;No hi ha causa mediata
2018S000024    ;No hi ha causa mediata
2018S009410    ;No hi ha causa mediata
2018S002520    ;No hi ha causa mediata
2018S000820    ;No hi ha causa mediata
2018S004106    ;No hi ha causa mediata
2018S006812    ;No hi ha causa mediata
2018S008677    ;No hi ha causa mediata
2018S004216    ;No hi ha causa mediata
2018S003752    ;No hi ha causa mediata
2018S004634    ;No hi ha causa mediata
2018S004036    ;No hi ha causa mediata
2018S001658    ;No hi ha causa mediata
2018S002529    ;No hi ha causa mediata
2018S003117    ;No hi ha causa mediata
2018S007501    ;Cal̤ada en mal estat
2018S002462    ;No hi ha causa mediata
2018S007076    ;No hi ha causa mediata
2018S000477    ;No hi ha causa mediata
2018S007211    ;Exc̩s de velocitat o inadequada
2018S000538    ;No hi ha causa mediata
2018S007411    ;No hi ha causa mediata
2018S008792    ;No hi ha causa mediata
2018S002392    ;No hi ha causa mediata
2018S008612    ;No hi ha causa mediata
2018S007494    ;No hi ha causa mediata
2018S003229    ;No hi ha causa mediata
2018S001103    ;No hi ha causa mediata
2018S000139    ;No hi ha causa mediata
2018S004760    ;No hi ha causa mediata
2018S007539    ;No hi ha causa mediata
2018S008607    ;No hi ha causa mediata
2018S004828    ;Alcohol̬mia
2018S004820    ;Drogues o medicaments
2018S008499    ;No hi ha causa mediata
2018S007129    ;No hi ha causa mediata
2018S003103    ;No hi ha causa mediata
2018S002500    ;No hi ha causa mediata
2018S000415    ;No hi ha causa mediata
2018S007468    ;Alcohol̬mia
2018S004754    ;No hi ha causa mediata
2018S002360    ;No hi ha causa mediata
2018S001392    ;No hi ha causa mediata
2018S002472    ;No hi ha causa mediata
2018S000128    ;No hi ha causa mediata
2018S000050    ;No hi ha causa mediata
2018S007531    ;No hi ha causa mediata
2018S002130    ;No hi ha causa mediata
2018S003075    ;No hi ha causa mediata
2018S000197    ;No hi ha causa mediata
2018S002356    ;No hi ha causa mediata
2018S001687    ;No hi ha causa mediata
2018S003985    ;No hi ha causa mediata
2018S001864    ;Drogues o medicaments
2018S007693    ;No hi ha causa mediata
2018S002375    ;No hi ha causa mediata
2018S005189    ;No hi ha causa mediata
2018S009048    ;No hi ha causa mediata
2018S000416    ;No hi ha causa mediata
2018S003362    ;No hi ha causa mediata
2018S005056    ;No hi ha causa mediata
2018S008042    ;No hi ha causa mediata
2018S000076    ;No hi ha causa mediata
2018S003099    ;Alcohol̬mia
2018S001150    ;No hi ha causa mediata
2018S008014    ;No hi ha causa mediata
2018S007933    ;No hi ha causa mediata
2018S000787    ;No hi ha causa mediata
2018S006221    ;No hi ha causa mediata
2018S003835    ;No hi ha causa mediata
2018S006206    ;No hi ha causa mediata
2018S005801    ;No hi ha causa mediata
2018S007278    ;No hi ha causa mediata
2018S003659    ;No hi ha causa mediata
2018S001001    ;No hi ha causa mediata
2018S007141    ;No hi ha causa mediata
2018S003723    ;No hi ha causa mediata
2018S002275    ;No hi ha causa mediata
2018S002839    ;No hi ha causa mediata
2018S000170    ;No hi ha causa mediata
2018S007421    ;No hi ha causa mediata
2018S001977    ;No hi ha causa mediata
2018S001454    ;No hi ha causa mediata
2018S004098    ;No hi ha causa mediata
2018S003781    ;No hi ha causa mediata
2018S008622    ;No hi ha causa mediata
2018S005496    ;No hi ha causa mediata
2018S003398    ;No hi ha causa mediata
2018S006876    ;No hi ha causa mediata
2018S004512    ;No hi ha causa mediata
2018S006008    ;No hi ha causa mediata
2018S001742    ;No hi ha causa mediata
2018S002021    ;No hi ha causa mediata
2018S003760    ;No hi ha causa mediata
