,district_name,electors,total_votes,index_family_income,participation,CUP-PR,Cs,ECP-GUANYEM,ERC-SOBIRANISTES,JxCAT-JUNTS,PP,PSC-PSOE,VOX
0,Ciutat Vella,46385,27381,89.07,59.03,2229,1344,5562,5110,2580,1842,6135,1255
1,Eixample,180319,136346,122.63,75.61,11078,6823,19232,30409,22901,12017,22839,5776
2,Sants-Montjuïc,124884,88881,79.05,71.17,6897,4634,15679,20074,9089,6597,18189,4147
3,Les Corts,60997,48101,161.0,78.86,2610,3116,4867,10154,7960,6546,8129,3034
4,Sarrià-Sant Gervasi,106106,83095,179.13,78.31,4115,5229,6679,14038,16545,15202,11969,6495
5,Gràcia,86076,65534,103.9,76.14,7280,2566,10664,15985,10799,4196,9438,2116
6,Horta-Guinardó,125788,90300,82.53,71.79,6384,5060,15536,18996,8923,7324,19676,4632
7,Nou Barris,118625,80713,51.45,68.04,3139,5632,14721,12488,4050,8052,23188,5705
8,Sant Andreu,109744,82109,70.37,74.82,5329,4950,14415,18184,7432,6508,17785,4090
9,Sant Martí,163991,121963,96.7,74.37,8021,7131,21048,26711,11355,9696,26440,6225
