Dist,Nbh,rent_price
Ciutat Vella,el Raval,4.03
Ciutat Vella,el Barri Gòtic,4.88
Ciutat Vella,la Barceloneta,5.17
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",5.15
Eixample,el Fort Pienc,4.11
Eixample,la Sagrada Família,4.21
Eixample,la Dreta de l'Eixample,6.33
Eixample,l'Antiga Esquerra de l'Eixample,5.09
Eixample,la Nova Esquerra de l'Eixample,4.47
Eixample,Sant Antoni,4.59
Sants-Montjuïc,el Poble Sec - Parc Montjuïc,3.94
Sants-Montjuïc,la Marina del Prat Vermell - Zona Franca,n.d.
Sants-Montjuïc,la Marina de Port,2.72
Sants-Montjuïc,la Font de la Guatlla,3.51
Sants-Montjuïc,Hostafrancs,3.91
Sants-Montjuïc,la Bordeta,3.17
Sants-Montjuïc,Sants - Badal,3.47
Sants-Montjuïc,Sants,3.67
Les Corts,les Corts,4.82
Les Corts,la Maternitat i Sant Ramon,4.34
Les Corts,Pedralbes,6.34
Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",n.d.
Sarrià-Sant Gervasi,Sarrià,6.04
Sarrià-Sant Gervasi,les Tres Torres,5.69
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,5.03
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,5.31
Sarrià-Sant Gervasi,el Putxet i el Farró,4.29
Gràcia,Vallcarca i els Penitents,3.54
Gràcia,el Coll,n.d.
Gràcia,la Salut,3.56
Gràcia,la Vila de Gràcia,4.43
Gràcia,el Camp d'en Grassot i Gràcia Nova,4.39
Horta-Guinardó,el Baix Guinardó,3.49
Horta-Guinardó,Can Baró,2.86
Horta-Guinardó,el Guinardó,3.16
Horta-Guinardó,la Font d'en Fargues,3.21
Horta-Guinardó,el Carmel,2.24
Horta-Guinardó,la Teixonera,2.50
Horta-Guinardó,Sant Genís dels Agudells,n.d.
Horta-Guinardó,Montbau,
Horta-Guinardó,la Vall d'Hebron,n.d.
Horta-Guinardó,la Clota,
Horta-Guinardó,Horta,2.97
Nou Barris,Vilapicina i la Torre Llobeta,2.77
Nou Barris,Porta,2.71
Nou Barris,el Turó de la Peira,n.d.
Nou Barris,Can Peguera,
Nou Barris,la Guineueta,n.d.
Nou Barris,Canyelles,
Nou Barris,les Roquetes,1.89
Nou Barris,Verdun,2.33
Nou Barris,la Prosperitat,2.21
Nou Barris,la Trinitat Nova,n.d.
Nou Barris,Torre Baró,
Nou Barris,Ciutat Meridiana,1.50
Nou Barris,Vallbona,
Sant Andreu,la Trinitat Vella,1.78
Sant Andreu,Baró de Viver,n.d.
Sant Andreu,el Bon Pastor,n.d.
Sant Andreu,Sant Andreu,3.21
Sant Andreu,la Sagrera,3.30
Sant Andreu,el Congrés i els Indians,n.d.
Sant Andreu,Navas,3.03
Sant Martí,el Camp de l'Arpa del Clot,3.56
Sant Martí,el Clot,3.52
Sant Martí,el Parc i la Llacuna del Poblenou,4.08
Sant Martí,la Vila Olímpica del Poblenou,5.40
Sant Martí,el Poblenou,4.32
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,6.40
Sant Martí,el Besòs i el Maresme,2.79
Sant Martí,Provençals del Poblenou,3.19
Sant Martí,Sant Martí de Provençals,2.76
Sant Martí,la Verneda i la Pau,2.44
