"";"id";"type";"latitude";"longitude";"streetName";"streetNumber";"altitude";"nearbyStations";"total_slots"
0;1;"BIKE";41.397952000000004;2.180042;"Gran Via Corts Catalanes";"760";21;"24, 369, 387, 426";27
1;2;"BIKE";41.39553;2.17706;"Roger de Flor/ Gran Vía";"126";21;"360, 368, 387, 414";27
2;3;"BIKE";41.394071999999994;2.183441;"Nàpols";"82";22;"4, 6, 119, 419";26
3;4;"BIKE";41.39347;2.18149;"Ribes";"13";21;"3, 5, 359, 419";18
4;5;"BIKE";41.391075;2.180223;"Pg Lluís Companys";"11";16;"6, 7, 359, 418";36
5;6;"BIKE";41.391349;2.1806099999999997;"Pg Lluís Companys";"18";16;"5, 8, 359, 419";35
6;7;"BIKE";41.388856;2.183251;"Pg Lluís Companys";"1";16;"8, 118, 389";26
7;8;"BIKE";41.389088;2.183568;"Pg Lluís Companys";"2";11;"6, 118, 389";21
8;9;"BIKE";41.384532;2.184921;"Marquès de l'Argentera";"13";11;"14, 40, 115, 389, 390";24
9;11;"BIKE";41.381689;2.193914;"Passeig Marítim";"19";1;"116, 124, 125, 396";21
10;12;"BIKE";41.384538;2.195679;"Pg Marítim Barceloneta";"23";0;"11, 13, 116, 396";28
11;13;"BIKE";41.386860999999996;2.195761;"Avinguda Litoral";"16";1;"11, 12, 46, 69";33
12;14;"BIKE";41.384675;2.1850389999999997;"Avinguda del Marques Argentera";"15";11;"9, 40, 115, 389, 390";25
13;15;"BIKE";41.394812;2.171189;"Girona";"68";40;"23, 25, 362, 413";16
14;16;"BIKE";41.398270000000004;2.1867080000000003;"Av. Meridiana";"47";18;"17, 44, 48, 372";19
15;17;"BIKE";41.398237;2.186711;"Av. Meridiana";"47";18;"16, 48, 211, 372";18
16;18;"BIKE";41.406086;2.1741669999999997;"Rosselló";"453";49;"19, 28, 120, 370";25
17;19;"BIKE";41.403282;2.1707259999999997;"Rosselló";"354";49;"18, 22, 29, 370";26
18;20;"BIKE";41.410166;2.175759;"Cartagena";"308";59;"21, 28, 164, 177, 278";20
19;21;"BIKE";41.410897;2.17402;"Sant Antoni Maria Claret";"214";59;"20, 28, 164, 278";21
20;22;"BIKE";41.401684;2.17568;"Sardenya";"292";28;"29, 120, 369, 370";19
21;23;"BIKE";41.392526000000004;2.171812;"Bruc";"45";42;"15, 360, 363, 413";25
22;24;"BIKE";41.400659000000005;2.1791110000000002;"Marina";"199";30;"1, 30, 369, 426";27
23;25;"BIKE";41.395179;2.168294;"Bruc";"102";42;"15, 123, 362, 413";20
24;26;"BIKE";41.407035;2.181981;"Dos Maig";"230";28;"120, 121, 177, 371";18
25;27;"BIKE";41.396881;2.164415;"Provença";"322";49;"123, 189, 224, 374";20
26;28;"BIKE";41.405421999999994;2.17064;"Sardenya";"362";45;"18, 20, 122, 277";23
27;29;"BIKE";41.401101000000004;2.170082;"Provença";"388";50;"19, 224, 360, 370";17
28;30;"BIKE";41.402046;2.182286;"Diagonal";"231";28;"24, 218, 369, 371";20
29;31;"BIKE";41.37481;2.18895;"Plaça del Mar";"72";1;"33, 39, 41, 124";17
30;32;"BIKE";41.373698;2.188927;"Plaça del Mar";"1";1;"31, 33, 124, 400";27
31;33;"BIKE";41.376862;2.190773;"Pontevedra";"58B";1;"31, 41, 124, 424";18
32;34;"BIKE";41.387074;2.175247;"Sant Pere Més Alt";"4";16;"36, 105, 359, 380";17
33;35;"BIKE";41.413592;2.2211529999999997;"Sant Ramon de Penyafort";"1";1;"157, 158, 159, 160";25
