,accident_id,type_vehicle,model,brand,color,type_license,license_antiguity
0,2018S007344    ,Turisme,CORDOBA,SEAT,Blanc,B,5
1,2018S009617    ,Turisme,206,PEUGEOT,Blau,B,1
2,2018S008382    ,"CamiÃ³ rÃ­gid > 3,5 tones",Desconegut,DAF-HERMANNS,Taronja,C,25
3,2018S002684    ,"CamiÃ³ rÃ­gid > 3,5 tones",ML140E24 E,IVECO FIAT,Blanc,C,11
4,2018S004886    ,Taxi,TOLEDO,SEAT,Negre/Groc,B,5
5,2018S004886    ,Taxi,TOLEDO,SEAT,Negre/Groc,B,7
6,2018S004886    ,Turisme,MEGANE,RENAULT,Negre,B,2
7,2018S008381    ,Taxi,TOLEDO,SEAT,Negre/Groc,B,33
8,2018S006793    ,Turisme,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut
9,2018S006793    ,Turisme,FIESTA,FORD,Negre,B,19
10,2018S007251    ,Ciclomotor,SCOOPY 50,HONDA,Negre,AM,12
11,2018S007251    ,Turisme,LEON,SEAT,Vermell,B,10
12,2018S008418    ,Turisme,Altea,SEAT,Blanc,B,23
13,2018S006309    ,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut
14,2018S009491    ,Motocicleta,SYMPHONY 1,SYM,Blanc,Desconegut,Desconegut
15,2018S009491    ,Turisme,740,BMW,Gris,Sense permÃ­s,Desconegut
16,2018S009491    ,Turisme,Altea,SEAT,Blanc,B,18
17,2018S006208    ,Taxi,TOLEDO,SEAT,Negre/Groc,B,10
18,2018S006208    ,Turisme,A3,A.U.D.I.,Vermell,B,2
19,2018S008217    ,Motocicleta,SYMPHONY,SYM,Negre,B,5
20,2018S008217    ,Turisme,ASTRA,OPEL,Negre,B,22
21,2018S004441    ,Motocicleta,LIBERTY 125,PIAGGIO,Negre,B,4
22,2018S004441    ,Turisme,ATECA,SEAT,Gris,B,11
23,2018S009888    ,Bicicleta,Desconegut,BTWIN,Negre,Desconegut,Desconegut
24,2018S009888    ,Turisme,PICANTO,KIA,Negre,B,5
25,2018S003907    ,Motocicleta,X MAX 125,YAMAHA,Blanc,B,10
26,2018S003907    ,Turisme,MONDEO,FORD,Negre,B,13
27,2018S004547    ,Ciclomotor,YN 50,YAMAHA,Negre,AM,2
28,2018S004547    ,Turisme,OPTIMA,KIA,Negre,B,13
